Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_26,J_27,J_28,J_29,J_30,Avg_last_5_games,Value
15,Valencia CF,Mamardashvili,PT,29,43,11,5,69,5.3,"['8', '-', '11', '8', '7']",8,0,11,8,7,6.8,2100000
15,Valencia CF,Cillessen,PT,27,50,1,0,57,3.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1220000
15,Valencia CF,Jaume Doménech,PT,24,7,2,0,4,1.3,"['-', '2', '-', '-', '-']",0,2,0,0,0,0.4,340000
15,Valencia CF,Omar Alderete,DF,24,77,9,5,104,4.3,"['9', '-', '4', '6', '4']",9,0,4,6,4,4.6,2770000
15,Valencia CF,Gabriel Paulista,DF,22,50,0,1,88,5.9,"['15', '-', '8', '-', '7']",15,0,8,0,7,6.0,5630000
15,Valencia CF,Gayà,DF,19,57,1,1,83,4.6,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,4490000
15,Valencia CF,Foulquier,DF,24,73,3,1,71,3,"['5', '2', '2', '4', '-']",5,2,2,4,0,2.6,1510000
15,Valencia CF,Diakhaby,DF,26,53,6,1,69,2.9,"['8', '-', '6', '3', '5']",8,0,6,3,5,4.4,1260000
15,Valencia CF,Thierry Correia,DF,18,37,2,3,45,3.8,"['-', '-', '-', '-', '3']",0,0,0,0,3,0.6,1330000
15,Valencia CF,Lato,DF,24,23,0,1,29,2.6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,470000
15,Valencia CF,Jesús Vázquez,DF,15,17,2,1,27,3.4,"['-', '1', '5', '7', '5']",0,1,5,7,5,3.6,820000
15,Valencia CF,Cömert,DF,15,10,0,1,9,1.8,"['-', '0', '-', '-', '-']",0,0,0,0,0,0.0,1430000
15,Valencia CF,Cristhian Mosquera,DF,13,7,0,0,3,0.8,"['-', '2', '-', '-', '-']",0,2,0,0,0,0.4,370000
15,Valencia CF,Rubén Iranzo,DF,20,0,0,1,2,1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,220000
15,Valencia CF,Carlos Soler,MD,12,70,0,0,161,6.7,"['5', '15', '4', '6', '5']",5,15,4,6,5,7.0,12560000
15,Valencia CF,Guillamón,MD,22,83,1,0,76,2.8,"['2', '2', '4', '6', '6']",2,2,4,6,6,4.0,1860000
15,Valencia CF,Yunus Musah,MD,20,33,0,0,56,2.5,"['6', '2', '-', '2', '-']",6,2,0,2,0,2.0,1060000
15,Valencia CF,Racic,MD,11,27,0,1,47,2.4,"['2', '4', '2', '2', '-']",2,4,2,2,0,2.0,790000
15,Valencia CF,Hélder Costa,MD,8,37,0,1,40,2,"['2', '2', '2', '2', '3']",2,2,2,2,3,2.2,760000
15,Valencia CF,Denis Cheryshev,MD,24,17,1,2,37,3.1,"['-', '-', '-', '2', '1']",0,0,0,2,1,0.6,710000
15,Valencia CF,Bryan Gil,MD,9,20,0,0,30,3.8,"['3', '2', '2', '3', '4']",3,2,2,3,4,2.8,7810000
15,Valencia CF,Koba,MD,12,3,0,1,19,2.1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,350000
15,Valencia CF,Ilaix Moriba,MD,7,10,0,0,14,2,"['-1', '-', '2', '5', '2']",-1,0,2,5,2,1.6,2860000
15,Valencia CF,Guedes,DL,6,90,1,0,196,6.8,"['-', '12', '3', '7', '4']",0,12,3,7,4,5.2,14480000
15,Valencia CF,Hugo Duro,DL,5,60,0,0,105,3.9,"['2', '2', '3', '2', '2']",2,2,3,2,2,2.2,5130000
15,Valencia CF,Maxi Gómez,DL,3,60,0,0,95,4,"['3', '12', '2', '3', '6']",3,12,2,3,6,5.2,3720000
15,Valencia CF,Marcos André,DL,4,17,0,0,76,3.2,"['-', '4', '2', '-', '-']",0,4,2,0,0,1.2,1210000
