Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_23,J_24,J_25,J_26,J_27,Avg_last_5_games
15,Valencia CF,Cillessen,PT,57,3.8,1800000,56,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
15,Valencia CF,Mamardashvili,PT,43,4.3,1800000,37,"['8', '2', '-1', '8', '-']",8,2,-1,8,0,3.4
15,Valencia CF,Jaume Doménech,PT,4,1.3,390000,7,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4
15,Valencia CF,Omar Alderete,DF,90,4.3,2820000,74,"['-', '-', '1', '9', '-']",0,0,1,9,0,2.0
15,Valencia CF,Gayà,DF,81,4.8,4500000,63,"['7', '-', '1', '-', '-']",7,0,1,0,0,1.6
15,Valencia CF,Gabriel Paulista,DF,73,5.6,3670000,48,"['-', '-', '-', '15', '-']",0,0,0,15,0,3.0
15,Valencia CF,Foulquier,DF,65,3,1330000,74,"['3', '3', '-1', '5', '2']",3,3,-1,5,2,2.4
15,Valencia CF,Diakhaby,DF,55,2.6,1340000,48,"['-', '2', '4', '8', '-']",0,2,4,8,0,2.8
15,Valencia CF,Thierry Correia,DF,42,3.8,1750000,37,"['4', '2', '-', '-', '-']",4,2,0,0,0,1.2
15,Valencia CF,Lato,DF,29,2.6,560000,26,"['-', '5', '4', '-', '-']",0,5,4,0,0,1.8
15,Valencia CF,Jesús Vázquez,DF,10,2,400000,7,"['-', '-', '-', '-', '1']",0,0,0,0,1,0.2
15,Valencia CF,Cömert,DF,9,1.8,1930000,11,"['4', '3', '2', '-', '0']",4,3,2,0,0,1.8
15,Valencia CF,Cristhian Mosquera,DF,3,0.8,390000,7,"['1', '-', '-', '-', '2']",1,0,0,0,2,0.6
15,Valencia CF,Rubén Iranzo,DF,2,1,220000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
15,Valencia CF,Carlos Soler,MD,146,7,10950000,67,"['6', '2', '10', '5', '15']",6,2,10,5,15,7.6
15,Valencia CF,Guillamón,MD,60,2.5,1580000,81,"['2', '2', '1', '2', '2']",2,2,1,2,2,1.8
15,Valencia CF,Yunus Musah,MD,54,2.6,1560000,33,"['4', '-1', '-', '6', '2']",4,-1,0,6,2,2.2
15,Valencia CF,Racic,MD,43,2.4,870000,30,"['1', '-', '2', '2', '4']",1,0,2,2,4,1.8
15,Valencia CF,Denis Cheryshev,MD,34,3.4,890000,19,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
15,Valencia CF,Hélder Costa,MD,33,1.9,950000,41,"['-', '2', '-', '2', '2']",0,2,0,2,2,1.2
15,Valencia CF,Bryan Gil,MD,21,4.2,9590000,11,"['7', '2', '7', '3', '2']",7,2,7,3,2,4.2
15,Valencia CF,Koba,MD,19,2.1,370000,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
15,Valencia CF,Ilaix Moriba,MD,5,1.3,3340000,11,"['4', '1', '1', '-1', '-']",4,1,1,-1,0,1.0
15,Valencia CF,Guedes,DL,182,7,13530000,89,"['4', '10', '4', '-', '12']",4,10,4,0,12,6.0
15,Valencia CF,Hugo Duro,DL,98,4.1,5220000,63,"['2', '2', '5', '2', '2']",2,2,5,2,2,2.6
15,Valencia CF,Maxi Gómez,DL,84,4,3740000,59,"['4', '2', '2', '3', '12']",4,2,2,3,12,4.6
15,Valencia CF,Marcos André,DL,74,3.2,1660000,19,"['4', '4', '2', '-', '4']",4,4,2,0,4,2.8
