Player,Matchs,Goals,Assists
Gonçalo Guedes,36,11,6
Carlos Soler,32,11,5
Omar Alderete,29,2,0
Hugo Guillamón,31,1,0
Dimitri Foulquier,29,0,1
José Lu,24,2,4
Hugo Duro,30,7,1
Maxi Gómez,29,5,1
Mouctar Diakhaby,29,0,1
Gabriel Paulista,19,2,1
Daniel Wass,19,1,1
Giorgi Mamardashvili,18,0,0
Thierry Correia,19,0,1
Jasper Cillessen,17,0,1
Yunus Musah,29,1,0
Uroš Račić,28,0,0
Hélder Costa,22,0,1
Ilaix Moriba,14,0,0
Bryan,13,0,1
Maranhão,29,1,3
Jesus Vazquez,15,0,0
Toni Lato,11,0,1
Denis Cheryshev,17,0,1
Eray Cömert,8,0,0
Jaume Doménech,4,0,0
Cristiano Piccini,6,1,0
Cristhian Mosquera,6,0,0
Koba Koindredi,10,0,0
Ruben Lendinez,4,0,0
Jason,5,0,0
Manu Vallejo,9,0,0
Jesús Santiago,3,0,0
Mario Dominguez,2,0,0
Rubén Sobrino,1,0,0
Pedro Alemañ,0,0,0
Alejandro Blanco,0,0,0
Alessandro Burlamaqui,0,0,0
Cristian,0,0,0
Hugo González,0,0,0
Javier Guerra,0,0,0
José Menargu,0,0,0
Diego Noguerol,0,0,0
Charlie Perez,0,0,0
Lassina Sangare,0,0,0
César Tárrega,0,0,0
