Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_28,J_29,J_30,J_31,J_32,Avg_last_5_games,Value
14,Villarreal CF,Rulli,PT,28,84,4,0,141,5.2,"['7', '-', '1', '-', '6']",7,0,1,0,6,2.8,4430000
14,Villarreal CF,Sergio Asenjo,PT,27,16,0,0,22,4.4,"['-', '9', '-', '7', '-']",0,9,0,7,0,3.2,1270000
14,Villarreal CF,Pau Torres,DF,27,88,2,6,164,5.9,"['5', '6', '2', '-', '7']",5,6,2,0,7,4.0,7460000
14,Villarreal CF,Alberto Moreno,DF,23,41,0,0,111,4.6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,3190000
14,Villarreal CF,Albiol,DF,29,72,6,4,103,4.5,"['5', '-', '4', '-', '-']",5,0,4,0,0,1.8,2790000
14,Villarreal CF,Alfonso Pedraza,DF,24,50,1,1,100,4.3,"['8', '2', '2', '15', '5']",8,2,2,15,5,6.4,2790000
14,Villarreal CF,Juan Foyth,DF,30,56,6,4,92,4.6,"['-', '-', '9', '1', '-']",0,0,9,1,0,2.0,2920000
14,Villarreal CF,Estupiñán,DF,20,44,0,0,71,3.1,"['6', '4', '-', '8', '3']",6,4,0,8,3,4.2,1450000
14,Villarreal CF,Aïssa Mandi,DF,23,38,1,3,71,5.1,"['1', '-', '-4', '-', '-']",1,0,-4,0,0,-0.6,1470000
14,Villarreal CF,Aurier,DF,22,28,8,3,55,3.7,"['7', '-', '2', '7', '4']",7,0,2,7,4,4.0,1720000
14,Villarreal CF,Mario Gaspar,DF,23,19,0,1,25,2.8,"['-', '4', '-', '3', '-']",0,4,0,3,0,1.4,470000
14,Villarreal CF,Rubén Peña,DF,17,3,9,3,14,2.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,330000
14,Villarreal CF,Parejo,MD,24,81,3,2,190,7,"['14', '5', '5', '-', '6']",14,5,5,0,6,6.0,13600000
14,Villarreal CF,Trigueros,MD,14,72,1,0,147,5.1,"['5', '-', '3', '4', '10']",5,0,3,4,10,4.4,6040000
14,Villarreal CF,Yéremi Pino,MD,26,63,1,2,146,4.9,"['-', '3', '5', '2', '2']",0,3,5,2,2,2.4,7350000
14,Villarreal CF,Danjuma,MD,17,50,0,1,123,5.6,"['2', '3', '3', '4', '5']",2,3,3,4,5,3.4,9910000
14,Villarreal CF,Capoue,MD,20,66,5,4,115,4.8,"['-', '2', '3', '-', '5']",0,2,3,0,5,2.0,4160000
14,Villarreal CF,Samu Chukwueze,MD,15,25,0,1,83,4,"['5', '1', '-', '5', '3']",5,1,0,5,3,2.8,3570000
14,Villarreal CF,Moi Gómez,MD,21,34,2,3,82,3.2,"['1', '2', '-', '4', '2']",1,2,0,4,2,1.8,2000000
14,Villarreal CF,Coquelin,MD,13,19,0,3,76,4.2,"['2', '3', '3', '2', '-']",2,3,3,2,0,2.0,1810000
14,Villarreal CF,Lo Celso,MD,18,19,1,1,47,4.7,"['5', '7', '1', '2', '2']",5,7,1,2,2,3.4,11770000
14,Villarreal CF,Iborra,MD,10,34,0,0,42,2.5,"['2', '4', '-', '2', '6']",2,4,0,2,6,2.8,910000
14,Villarreal CF,Carlo Adriano,MD,9,0,0,0,2,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,290000
14,Villarreal CF,Gerard Moreno,DL,5,44,0,0,128,7.5,"['-', '2', '2', '3', '15']",0,2,2,3,15,4.4,15340000
14,Villarreal CF,Boulaye Dia,DL,6,31,0,0,103,5.2,"['3', '2', '-', '-', '-']",3,2,0,0,0,1.0,2680000
14,Villarreal CF,Alcácer,DL,7,25,0,0,45,3.5,"['-', '-', '2', '5', '5']",0,0,2,5,5,2.4,1630000
14,Villarreal CF,Nicolas Jackson,DL,5,0,0,0,11,3.7,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,390000
