Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_28,J_29,J_30,J_31,J_32,Avg_last_5_games
14,Villarreal CF,Rulli,PT,141,5.2,4430000,84,"['7', '-', '1', '-', '6']",7,0,1,0,6,2.8
14,Villarreal CF,Sergio Asenjo,PT,22,4.4,1270000,16,"['-', '9', '-', '7', '-']",0,9,0,7,0,3.2
14,Villarreal CF,Pau Torres,DF,164,5.9,7460000,88,"['5', '6', '2', '-', '7']",5,6,2,0,7,4.0
14,Villarreal CF,Alberto Moreno,DF,111,4.6,3190000,41,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
14,Villarreal CF,Albiol,DF,103,4.5,2790000,72,"['5', '-', '4', '-', '-']",5,0,4,0,0,1.8
14,Villarreal CF,Alfonso Pedraza,DF,100,4.3,2790000,50,"['8', '2', '2', '15', '5']",8,2,2,15,5,6.4
14,Villarreal CF,Juan Foyth,DF,92,4.6,2920000,56,"['-', '-', '9', '1', '-']",0,0,9,1,0,2.0
14,Villarreal CF,Estupiñán,DF,71,3.1,1450000,44,"['6', '4', '-', '8', '3']",6,4,0,8,3,4.2
14,Villarreal CF,Aïssa Mandi,DF,71,5.1,1470000,38,"['1', '-', '-4', '-', '-']",1,0,-4,0,0,-0.6
14,Villarreal CF,Aurier,DF,55,3.7,1720000,28,"['7', '-', '2', '7', '4']",7,0,2,7,4,4.0
14,Villarreal CF,Mario Gaspar,DF,25,2.8,470000,19,"['-', '4', '-', '3', '-']",0,4,0,3,0,1.4
14,Villarreal CF,Rubén Peña,DF,14,2.3,330000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
14,Villarreal CF,Parejo,MD,190,7,13600000,81,"['14', '5', '5', '-', '6']",14,5,5,0,6,6.0
14,Villarreal CF,Trigueros,MD,147,5.1,6040000,72,"['5', '-', '3', '4', '10']",5,0,3,4,10,4.4
14,Villarreal CF,Yéremi Pino,MD,146,4.9,7350000,63,"['-', '3', '5', '2', '2']",0,3,5,2,2,2.4
14,Villarreal CF,Danjuma,MD,123,5.6,9910000,50,"['2', '3', '3', '4', '5']",2,3,3,4,5,3.4
14,Villarreal CF,Capoue,MD,115,4.8,4160000,66,"['-', '2', '3', '-', '5']",0,2,3,0,5,2.0
14,Villarreal CF,Samu Chukwueze,MD,83,4,3570000,25,"['5', '1', '-', '5', '3']",5,1,0,5,3,2.8
14,Villarreal CF,Moi Gómez,MD,82,3.2,2000000,34,"['1', '2', '-', '4', '2']",1,2,0,4,2,1.8
14,Villarreal CF,Coquelin,MD,76,4.2,1810000,19,"['2', '3', '3', '2', '-']",2,3,3,2,0,2.0
14,Villarreal CF,Lo Celso,MD,47,4.7,11770000,19,"['5', '7', '1', '2', '2']",5,7,1,2,2,3.4
14,Villarreal CF,Iborra,MD,42,2.5,910000,34,"['2', '4', '-', '2', '6']",2,4,0,2,6,2.8
14,Villarreal CF,Carlo Adriano,MD,2,2,290000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
14,Villarreal CF,Gerard Moreno,DL,128,7.5,15340000,44,"['-', '2', '2', '3', '15']",0,2,2,3,15,4.4
14,Villarreal CF,Boulaye Dia,DL,103,5.2,2680000,31,"['3', '2', '-', '-', '-']",3,2,0,0,0,1.0
14,Villarreal CF,Alcácer,DL,45,3.5,1630000,25,"['-', '-', '2', '5', '5']",0,0,2,5,5,2.4
14,Villarreal CF,Nicolas Jackson,DL,11,3.7,390000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
