Player,Matchs,Goals,Assists
Pau Torres,31,5,1
Gerónimo Rulli,30,0,0
Daniel Parejo,31,2,8
Raúl Albiol,26,0,0
Manu Trigueros,33,6,4
Étienne Capoue,28,1,1
Juan Foyth,24,1,1
Yeremi Pino,31,6,4
Alfonso Pedraza,26,3,4
Arnaut Groeneveld,23,10,3
Pervis Estupiñán,26,0,1
Aïssa Mandi,17,1,0
Gerard Moreno,17,9,3
Alberto Moreno,24,3,2
Boulaye Dia,24,5,5
Moi Gómez,28,1,2
Vicente Iborra,20,0,1
Samuel Chukwueze,25,3,3
Serge Aurier,18,0,1
Giovani ,14,1,1
Paco Alcácer,16,1,3
Francis Coquelin,19,1,1
Mario Gaspar,10,0,0
Sergio Asenjo,6,0,0
Rubén Peña,6,0,0
Nicolas Jackson,7,0,0
Dani Raba,7,0,0
Carlo,1,0,0
Nikita Iosifov,1,0,0
Iker Álvarez,0,0,0
Arana,0,0,0
José Cabrera,0,0,0
Jorge Cuenca,0,0,0
Filip Jörgensen,0,0,0
Adrián ,0,0,0
Antonio Pacheco,0,0,0
