Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_32,J_33,J_34,J_35,J_36,Avg_last_5_games,Value
1,Athletic Club,Unai Simón,PT,32,89,0,0,146,4.6,"['7', '-', '8', '6', '2']",7,0,8,6,2,4.6,3130000
1,Athletic Club,Agirrezabala,PT,33,11,4,9,20,5,"['-', '4', '-', '-', '-']",0,4,0,0,0,0.8,350000
1,Athletic Club,Ezkieta,PT,36,0,8,4,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,180000
1,Athletic Club,Iñigo Martínez,DF,32,67,0,0,133,5.3,"['2', '-', '5', '7', '4']",2,0,5,7,4,3.6,6220000
1,Athletic Club,Daniel Vivian,DF,30,58,0,0,118,5.1,"['1', '-', '4', '-', '6']",1,0,4,0,6,2.2,2840000
1,Athletic Club,Yeray Álvarez,DF,25,56,3,0,95,4.5,"['2', '2', '6', '5', '-']",2,2,6,5,0,3.0,2530000
1,Athletic Club,De Marcos,DF,26,47,0,0,92,4.6,"['4', '4', '2', '5', '-']",4,4,2,5,0,3.0,1470000
1,Athletic Club,Lekue,DF,32,61,2,6,84,3.5,"['-', '2', '-', '-', '2']",0,2,0,0,2,0.8,1090000
1,Athletic Club,Balenziaga,DF,24,64,0,2,81,3.1,"['2', '0', '2', '-', '-']",2,0,2,0,0,0.8,910000
1,Athletic Club,Yuri Berchiche,DF,33,25,6,2,68,5.7,"['5', '-', '5', '7', '5']",5,0,5,7,5,4.4,4470000
1,Athletic Club,Álex Petxarroman,DF,23,3,2,1,31,1.9,"['2', '-', '-', '2', '4']",2,0,0,2,4,1.6,510000
1,Athletic Club,Unai Núñez,DF,21,19,0,0,24,2.7,"['-', '-1', '-', '-', '-']",0,-1,0,0,0,-0.2,470000
1,Athletic Club,Capa,DF,20,0,1,2,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,470000
1,Athletic Club,Muniain,MD,27,89,6,4,230,7,"['15', '6', '6', '7', '6']",15,6,6,7,6,8.0,10480000
1,Athletic Club,Álex Berenguer,MD,31,64,2,0,127,4,"['-', '-', '2', '4', '3']",0,0,2,4,3,1.8,4670000
1,Athletic Club,Unai Vencedor,MD,33,75,0,0,103,3.2,"['2', '4', '4', '2', '3']",2,4,4,2,3,3.0,1690000
1,Athletic Club,Mikel Vesga,MD,12,44,1,2,85,2.7,"['2', '-', '5', '6', '-5']",2,0,5,6,-5,1.6,1330000
1,Athletic Club,Dani García,MD,29,72,1,0,79,2.6,"['2', '2', '4', '2', '0']",2,2,4,2,0,2.0,940000
1,Athletic Club,Nico Williams,MD,9,28,0,0,75,2.3,"['2', '0', '5', '1', '0']",2,0,5,1,0,1.6,3500000
1,Athletic Club,Zarraga,MD,4,22,0,0,72,2.5,"['2', '1', '1', '2', '2']",2,1,1,2,2,1.6,730000
1,Athletic Club,Nico Serrano,MD,17,8,1,0,39,3,"['-', '3', '-', '-', '-']",0,3,0,0,0,0.6,500000
1,Athletic Club,Williams,DL,13,83,1,0,173,4.8,"['3', '3', '10', '-1', '2']",3,3,10,-1,2,3.4,10070000
1,Athletic Club,Raúl García,DL,16,61,0,0,152,4.6,"['10', '5', '5', '4', '3']",10,5,5,4,3,5.4,6010000
1,Athletic Club,Sancet,DL,7,44,0,0,128,4.7,"['-', '8', '-', '-', '-']",0,8,0,0,0,1.6,3970000
1,Athletic Club,Villalibre,DL,1,8,0,0,45,2.6,"['-', '-', '-', '2', '2']",0,0,0,2,2,0.8,660000
2,Club Atlético de Madrid,Oblak,PT,36,100,0,0,125,3.5,"['7', '6', '2', '11', '5']",7,6,2,11,5,6.2,4250000
2,Club Atlético de Madrid,Lecomte,PT,29,0,1,1,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,220000
2,Club Atlético de Madrid,Savic,DF,27,72,0,2,113,4.3,"['6', '4', '-', '6', '4']",6,4,0,6,4,4.0,4270000
2,Club Atlético de Madrid,José Giménez,DF,32,64,6,5,112,4.9,"['-', '2', '4', '6', '7']",0,2,4,6,7,3.8,3440000
2,Club Atlético de Madrid,Mario Hermoso,DF,26,58,0,0,98,3.8,"['9', '-', '2', '-', '-']",9,0,2,0,0,2.2,2110000
2,Club Atlético de Madrid,Renan Lodi,DF,23,36,0,1,96,3.3,"['5', '2', '1', '-', '10']",5,2,1,0,10,3.6,3230000
2,Club Atlético de Madrid,Felipe,DF,34,39,2,1,79,3.3,"['-', '-', '-', '4', '5']",0,0,0,4,5,1.8,1890000
2,Club Atlético de Madrid,Vrsaljko,DF,26,28,2,1,73,3.5,"['3', '3', '1', '4', '-']",3,3,1,4,0,2.2,1460000
2,Club Atlético de Madrid,Reinildo Mandava,DF,34,36,11,5,63,4.2,"['5', '4', '2', '5', '8']",5,4,2,5,8,4.8,4460000
2,Club Atlético de Madrid,Ferreira Carrasco,MD,33,72,11,2,181,5.7,"['8', '-', '0', '9', '4']",8,0,0,9,4,4.2,9250000
2,Club Atlético de Madrid,Rodrigo de Paul,MD,26,61,1,2,167,4.9,"['7', '2', '4', '-', '12']",7,2,4,0,12,5.0,6720000
2,Club Atlético de Madrid,Kondogbia,MD,24,53,3,3,125,4.8,"['-', '5', '4', '5', '5']",0,5,4,5,5,3.8,3930000
2,Club Atlético de Madrid,Lemar,MD,23,47,4,5,114,5,"['-', '5', '-', '-', '-']",0,5,0,0,0,1.0,4040000
2,Club Atlético de Madrid,Marcos Llorente,MD,24,75,2,1,113,4.2,"['2', '5', '5', '5', '-']",2,5,5,5,0,3.4,6630000
2,Club Atlético de Madrid,Koke,MD,24,75,8,4,112,3.9,"['4', '1', '3', '5', '2']",4,1,3,5,2,3.0,3940000
2,Club Atlético de Madrid,Daniel Wass,MD,29,53,2,2,76,3.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,2680000
2,Club Atlético de Madrid,Héctor Herrera,MD,15,22,0,0,72,3.6,"['-', '6', '1', '-', '3']",0,6,1,0,3,2.0,2020000
2,Club Atlético de Madrid,Carlos Martín,MD,15,0,0,0,3,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270000
2,Club Atlético de Madrid,Javi Serrano,MD,21,3,1,2,0,0,"['4', '-', '-', '-', '-']",4,0,0,0,0,0.8,590000
2,Club Atlético de Madrid,Correa,DL,20,58,0,0,173,5.1,"['4', '2', '4', '2', '1']",4,2,4,2,1,2.6,11130000
2,Club Atlético de Madrid,Luis Suárez,DL,27,53,6,4,167,5.1,"['5', '2', '3', '-', '4']",5,2,3,0,4,2.8,10730000
2,Club Atlético de Madrid,João Félix,DL,3,36,0,1,150,6.3,"['-', '6', '-', '-', '-']",0,6,0,0,0,1.2,12880000
2,Club Atlético de Madrid,Griezmann,DL,5,61,0,0,135,5,"['4', '-', '7', '5', '7']",4,0,7,5,7,4.6,11030000
2,Club Atlético de Madrid,Matheus Cunha,DL,1,19,0,0,126,4.7,"['0', '2', '2', '6', '9']",0,2,2,6,9,3.8,6330000
3,CA Osasuna,Sergio Herrera,PT,34,94,0,0,167,4.9,"['17', '1', '3', '2', '-']",17,1,3,2,0,4.6,3790000
3,CA Osasuna,Juan Pérez,PT,34,6,4,0,-1,-0.5,"['-', '-', '-', '-', '1']",0,0,0,0,1,0.2,320000
3,CA Osasuna,David García Zub.,DF,35,94,2,3,184,5.4,"['2', '-', '6', '5', '4']",2,0,6,5,4,3.4,5920000
3,CA Osasuna,Nacho Vidal,DF,34,89,0,1,135,4,"['-1', '4', '4', '4', '4']",-1,4,4,4,4,3.0,2360000
3,CA Osasuna,Manu Sánchez,DF,32,67,1,0,110,3.4,"['3', '4', '3', '3', '-']",3,4,3,3,0,2.6,1880000
3,CA Osasuna,Unai García,DF,35,39,1,6,67,3.9,"['-', '-', '-', '-', '6']",0,0,0,0,6,1.2,660000
