Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_27,J_28,J_29,J_30,J_31,Avg_last_5_games
1,Athletic Club,Unai Simón,PT,122,4.5,3560000,87,"['2', '5', '2', '2', '5']",2,5,2,2,5,3.2
1,Athletic Club,Agirrezabala,PT,20,5,390000,13,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
1,Athletic Club,Ezkieta,PT,0,0,180000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
1,Athletic Club,Iñigo Martínez,DF,115,5.5,5560000,65,"['7', '-', '-', '-', '-']",7,0,0,0,0,1.4
1,Athletic Club,Daniel Vivian,DF,103,5.4,3390000,58,"['2', '4', '6', '2', '3']",2,4,6,2,3,3.4
1,Athletic Club,Lekue,DF,82,3.6,1440000,68,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
1,Athletic Club,De Marcos,DF,81,4.8,1750000,45,"['3', '2', '2', '3', '3']",3,2,2,3,3,2.6
1,Athletic Club,Yeray Álvarez,DF,79,4.6,2720000,55,"['5', '4', '4', '-', '3']",5,4,4,0,3,3.2
1,Athletic Club,Balenziaga,DF,77,3.2,1200000,71,"['-', '3', '-', '-', '6']",0,3,0,0,6,1.8
1,Athletic Club,Yuri Berchiche,DF,45,6.4,4450000,16,"['5', '4', '13', '8', '-']",5,4,13,8,0,6.0
1,Athletic Club,Unai Núñez,DF,24,2.7,500000,23,"['-', '-', '-', '4', '-']",0,0,0,4,0,0.8
1,Athletic Club,Álex Petxarroman,DF,23,1.9,470000,0,"['2', '-', '2', '3', '4']",2,0,2,3,4,2.2
1,Athletic Club,Capa,DF,0,0,580000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
1,Athletic Club,Muniain,MD,192,6.9,10930000,87,"['5', '9', '8', '4', '9']",5,9,8,4,9,7.0
1,Athletic Club,Álex Berenguer,MD,114,4.1,4760000,68,"['12', '4', '8', '13', '2']",12,4,8,13,2,7.8
1,Athletic Club,Unai Vencedor,MD,87,3.2,2080000,81,"['4', '5', '1', '3', '3']",4,5,1,3,3,3.2
1,Athletic Club,Mikel Vesga,MD,71,2.7,1360000,39,"['11', '2', '5', '4', '1']",11,2,5,4,1,4.6
1,Athletic Club,Dani García,MD,71,2.7,1050000,71,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4
1,Athletic Club,Nico Williams,MD,65,2.3,4270000,19,"['3', '3', '1', '2', '2']",3,3,1,2,2,2.2
1,Athletic Club,Zarraga,MD,63,2.6,980000,26,"['10', '2', '-', '2', '2']",10,2,0,2,2,3.2
1,Athletic Club,Nico Serrano,MD,35,2.9,590000,10,"['-', '2', '1', '-', '-']",0,2,1,0,0,0.6
1,Athletic Club,Williams,DL,156,5,10050000,84,"['9', '1', '5', '6', '4']",9,1,5,6,4,5.0
1,Athletic Club,Sancet,DL,126,4.8,5020000,48,"['2', '2', '2', '6', '2']",2,2,2,6,2,2.8
1,Athletic Club,Raúl García,DL,125,4.5,4510000,61,"['-', '2', '2', '5', '9']",0,2,2,5,9,3.6
1,Athletic Club,Villalibre,DL,39,2.8,800000,6,"['2', '-', '4', '10', '-']",2,0,4,10,0,3.2
2,Club Atlético de Madrid,Oblak,PT,97,3.1,4170000,100,"['6', '1', '8', '1', '4']",6,1,8,1,4,4.0
2,Club Atlético de Madrid,Lecomte,PT,0,0,260000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
2,Club Atlético de Madrid,Savic,DF,96,4.4,4210000,71,"['-', '5', '6', '2', '4']",0,5,6,2,4,3.4
2,Club Atlético de Madrid,José Giménez,DF,95,4.8,3360000,65,"['4', '7', '5', '4', '-']",4,7,5,4,0,4.0
2,Club Atlético de Madrid,Mario Hermoso,DF,87,3.6,2250000,61,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
2,Club Atlético de Madrid,Renan Lodi,DF,78,3.3,3950000,35,"['1', '3', '3', '0', '2']",1,3,3,0,2,1.8
2,Club Atlético de Madrid,Felipe,DF,66,3.1,2280000,42,"['5', '2', '-', '-', '4']",5,2,0,0,4,2.2
2,Club Atlético de Madrid,Vrsaljko,DF,63,3.9,1680000,23,"['3', '-', '-', '6', '1']",3,0,0,6,1,2.0
2,Club Atlético de Madrid,Reinildo Mandava,DF,39,3.9,5080000,29,"['2', '4', '6', '4', '2']",2,4,6,4,2,3.6
2,Club Atlético de Madrid,Ferreira Carrasco,MD,143,5.3,7610000,71,"['4', '1', '-', '4', '7']",4,1,0,4,7,3.2
2,Club Atlético de Madrid,Rodrigo de Paul,MD,141,4.9,7220000,65,"['7', '13', '7', '4', '4']",7,13,7,4,4,7.0
2,Club Atlético de Madrid,Kondogbia,MD,112,5.1,3760000,48,"['9', '-', '-', '2', '2']",9,0,0,2,2,2.6
2,Club Atlético de Madrid,Lemar,MD,112,5.1,6260000,52,"['-', '-', '4', '4', '4']",0,0,4,4,4,2.4
2,Club Atlético de Madrid,Marcos Llorente,MD,98,4.3,8470000,74,"['11', '2', '5', '2', '4']",11,2,5,2,4,4.8
