Player,Matchs,Goals,Assists
Unai Simón,28,0,0
Iker Muniain,29,3,8
Iñaki Williams,32,7,3
Unai Venced,28,0,0
Mikel Balenziaga,24,0,0
Álex Berenguer,29,2,6
Dani García,26,0,0
Iñigo Lekue,23,0,2
Iñigo Martínez,21,3,0
Daniel Vivian,20,2,1
Raúl García,29,5,2
Yeray Álvarez,18,0,0
Oihan Sancet,27,6,4
Óscar ,17,1,2
Mikel Vesga,27,1,0
Oier Zarraga,25,1,0
Unai Núñez,9,0,0
Nico Williams,29,0,0
Yuri Berchiche,8,1,2
Julen Agirrezabala,4,0,0
Nicolás Serrano,13,1,0
Asier Villalibre,15,1,0
Alex Petxa,13,0,0
Jon Morcillo,7,0,0
Peru Nolaskoain,1,0,0
Juan Artola,0,0,0
Ander Capa,0,0,0
Jokin Ezkieta,0,0,0
Iru,0,0,0
Aitor Paredes,0,0,0
Jan Oblak,32,0,0
Koke,25,1,1
Marcos Llorente,24,0,2
Stefan Savić,23,0,0
Yannick Carrasco,28,5,5
Rodrigo ,30,1,1
José Mar,20,0,1
Mario Hermoso,24,2,1
Ángel Correa,30,11,5
Luis Suárez,30,11,2
Thomas Lemar,23,4,5
Geoffrey Kondogbia,23,1,2
Antoine Griezmann,20,3,2
Felipe,22,2,1
João Félix,24,8,4
Renan Lodi,25,2,1
Kieran Trippiere,15,0,0
Reinildo Mandava,11,0,0
Šime Vrsaljko,17,1,2
Héctor Herrera,18,0,0
Matheus Cunha,23,5,4
Saúl Ñíguez,3,0,1
Daniel Wass,1,0,0
Javier Serrano,4,0,0
Carlos Martín,1,0,0
Benjamin Lecomte,0,0,0
Pablo Barrios,0,0,0
Ibrahima Camara,0,0,0
Sergio Camello,0,0,0
Sergio Di,0,0,0
Antonio Gomis,0,0,0
Ivo Grbić,0,0,0
Manu Lama,0,0,0
Marco Moreno,0,0,0
Nehuén Pérez,0,0,0
Joan Rojas,0,0,0
Ivan Šaponjić,0,0,0
Giuliano Simeone,0,0,0
Sergio Herrera,31,0,0
David García,30,4,0
Jon Moncayola,31,2,3
Nacho Vidal,30,0,1
Lucas Torró,29,1,0
Rubén García,31,1,5
Darko Brašanac,29,1,2
Manuel Sánchez,29,1,3
Juan Cr,19,0,0
Kike,29,5,1
Ezequiel Ávila,30,6,1
Ante Budimir,22,6,1
Unai García,16,0,0
José Ángel,21,1,1
Aridane Hernández,11,0,0
