Player,Matchs,Goals,Assists
Óscar ,9,0,2
Unai Simón,9,0,0
Iñaki Williams,9,3,1
Álex Berenguer,9,3,1
Iker Muniain,9,0,0
Oihan Sancet,9,3,0
Yeray Álvarez,8,0,1
Nico Williams,9,3,2
Iñigo Lekue,7,0,1
Mikel Vesga,8,2,1
Daniel Vivian,6,0,0
Iñigo Martínez,5,0,0
Dani García,6,0,1
Yuri Berchiche,2,0,0
Asier Villalibre,3,0,0
Raúl García,8,0,0
Oier Zarraga,6,0,0
Gorka Guruzeta,4,2,0
Ander Herrera,3,0,0
Jon Morcillo,6,0,1
Unai Venced,2,0,0
Aitor Paredes,3,0,0
Malcom Abdul,1,0,0
Ander Capa,1,0,0
Julen Agirrezabala,0,0,0
Mikel Balenziaga,0,0,0
Iru,0,0,0
Peru Nolaskoain,0,0,0
