Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games,Value
3,CA Osasuna,Sergio Herrera,PT,3,100,0,0,12,4,"['4', '6', '2', 0, 0]",4,6,2,0,0,2.4,4080000
3,CA Osasuna,Juan Pérez,PT,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,180000
3,CA Osasuna,Aitor Fernández,PT,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,1040000
3,CA Osasuna,David García Zub.,DF,3,100,0,0,15,5,"['3', '7', '5', 0, 0]",3,7,5,0,0,3.0,4990000
3,CA Osasuna,Rubén Peña,DF,3,100,0,0,14,4.7,"['5', '7', '2', 0, 0]",5,7,2,0,0,2.8,2290000
3,CA Osasuna,Unai García,DF,3,100,0,0,13,4.3,"['3', '8', '2', 0, 0]",3,8,2,0,0,2.6,990000
3,CA Osasuna,Juan Cruz,DF,3,100,0,0,10,3.3,"['4', '5', '1', 0, 0]",4,5,1,0,0,2.0,1390000
3,CA Osasuna,Nacho Vidal,DF,3,33,1,0,9,3,"['2', '2', '5', 0, 0]",2,2,5,0,0,1.8,2530000
3,CA Osasuna,Manu Sánchez,DF,3,0,0,1,7,3.5,"['3', '-', '4', 0, 0]",3,0,4,0,0,1.4,1620000
3,CA Osasuna,Unai Dufur,DF,3,0,2,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,220000
3,CA Osasuna,Aridane Hernández,DF,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,1860000
3,CA Osasuna,Moi Gómez,MD,2,100,0,0,19,6.3,"['6', '6', '7', 0, 0]",6,6,7,0,0,3.8,4380000
3,CA Osasuna,Aimar Oroz,MD,2,100,0,0,14,4.7,"['8', '4', '2', 0, 0]",8,4,2,0,0,2.8,2620000
3,CA Osasuna,Jon Moncayola,MD,2,100,0,0,12,4,"['5', '2', '5', 0, 0]",5,2,5,0,0,2.4,5200000
3,CA Osasuna,Lucas Torró,MD,2,100,0,0,10,3.3,"['4', '4', '2', 0, 0]",4,4,2,0,0,2.0,3920000
3,CA Osasuna,Brasanac,MD,2,0,0,0,8,4,"['2', '6', '-', 0, 0]",2,6,0,0,0,1.6,1640000
3,CA Osasuna,Rubén García,MD,2,0,0,0,7,3.5,"['-', '2', '5', 0, 0]",0,2,5,0,0,1.4,4070000
3,CA Osasuna,Kike Barja,MD,1,33,0,0,3,1.5,"['-1', '-', '4', 0, 0]",-1,0,4,0,0,0.6,600000
3,CA Osasuna,Roberto Torres,MD,1,0,0,0,2,2,"['-', '2', '-', 0, 0]",0,2,0,0,0,0.4,1010000
3,CA Osasuna,Pablo Ibáñez,MD,0,0,0,0,2,2,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4,200000
3,CA Osasuna,Javi Martínez Calvo,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,450000
3,CA Osasuna,Iker Benito,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,230000
3,CA Osasuna,Ezequiel Ávila,DL,0,100,0,0,20,6.7,"['9', '9', '2', 0, 0]",9,9,2,0,0,4.0,11080000
3,CA Osasuna,Kike García,DL,0,0,0,0,17,5.7,"['4', '11', '2', 0, 0]",4,11,2,0,0,3.4,3620000
3,CA Osasuna,Budimir,DL,0,33,0,0,8,4,"['-', '5', '3', 0, 0]",0,5,3,0,0,1.6,6330000
