Player,Matchs,Goals,Assists
Juan Cr,8,0,0
Sergio Herrera,8,0,0
Moi Gómez,8,0,0
Lucas Torró,8,0,0
Unai García,8,0,1
David García,7,0,0
Jon Moncayola,8,0,0
Nacho Vidal,8,0,0
Ezequiel Ávila,7,3,0
Aimar Oroz,6,2,0
Ante Budimir,6,0,0
Darko Brašanac,7,1,1
Rubén Peña,6,0,1
Kike,8,2,0
Rubén García,6,1,1
Abdessamad Ezzalzouli,5,0,1
Kike Barja,3,0,0
Aridane Hernández,2,0,0
Manuel Sánchez,5,0,0
Pablo Ibáñez,3,0,0
Roberto Torres,1,0,0
Iker Benito,0,0,0
Aitor Fernández,0,0,0
Jorge Herrando,0,0,0
Javi Martínez,0,0,0
Juan Pérez,0,0,0
