Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games,Value
2,Club Atlético de Madrid,Oblak,PT,3,100,0,0,16,5.3,"['6', '3', '7', 0, 0]",6,3,7,0,0,3.2,6090000
2,Club Atlético de Madrid,Ivo Grbic,PT,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,330000
2,Club Atlético de Madrid,Reinildo Mandava,DF,3,100,0,0,15,5,"['5', '4', '6', 0, 0]",5,4,6,0,0,3.0,4700000
2,Club Atlético de Madrid,Savic,DF,3,67,0,0,10,5,"['8', '2', '-', 0, 0]",8,2,0,0,0,2.0,4680000
2,Club Atlético de Madrid,José Giménez,DF,3,33,0,3,9,4.5,"['-', '2', '7', 0, 0]",0,2,7,0,0,1.8,4110000
2,Club Atlético de Madrid,Nahuel Molina,DF,3,67,2,0,1,0.5,"['5', '-4', '-', 0, 0]",5,-4,0,0,0,0.2,7170000
2,Club Atlético de Madrid,Mario Hermoso,DF,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,1090000
2,Club Atlético de Madrid,Felipe,DF,2,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,890000
2,Club Atlético de Madrid,Lemar,MD,2,67,0,0,17,5.7,"['4', '4', '8', 0, 0]",4,4,8,0,0,3.2,4500000
2,Club Atlético de Madrid,Witsel,MD,3,100,0,1,14,4.7,"['4', '4', '6', 0, 0]",4,4,6,0,0,2.8,5690000
2,Club Atlético de Madrid,Rodrigo de Paul,MD,2,33,0,0,13,4.3,"['4', '3', '6', 0, 0]",4,3,6,0,0,2.6,4900000
2,Club Atlético de Madrid,Koke,MD,3,100,0,0,13,4.3,"['4', '6', '3', 0, 0]",4,6,3,0,0,2.6,6660000
2,Club Atlético de Madrid,Marcos Llorente,MD,3,100,0,0,13,4.3,"['4', '4', '5', 0, 0]",4,4,5,0,0,2.6,8020000
2,Club Atlético de Madrid,Ferreira Carrasco,MD,2,33,0,0,10,3.3,"['5', '3', '2', 0, 0]",5,3,2,0,0,2.0,8360000
2,Club Atlético de Madrid,Saúl Ñíguez,MD,1,67,0,0,9,4.5,"['5', '-', '4', 0, 0]",5,0,4,0,0,1.8,3750000
2,Club Atlético de Madrid,Kondogbia,MD,3,33,2,0,5,5,"['-', '-', '5', 0, 0]",0,0,5,0,0,1.0,3000000
2,Club Atlético de Madrid,Carlos Martín,MD,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,180000
2,Club Atlético de Madrid,Morata,DL,3,100,0,0,26,8.7,"['16', '7', '3', 0, 0]",16,7,3,0,0,5.2,16670000
2,Club Atlético de Madrid,Griezmann,DL,0,0,0,0,24,8,"['12', '4', '8', 0, 0]",12,4,8,0,0,4.8,12880000
2,Club Atlético de Madrid,João Félix,DL,0,100,0,0,23,7.7,"['13', '5', '4', 0, 0]",13,5,4,0,0,4.4,18290000
2,Club Atlético de Madrid,Correa,DL,0,0,0,0,7,2.3,"['2', '4', '1', 0, 0]",2,4,1,0,0,1.4,6500000
2,Club Atlético de Madrid,Matheus Cunha,DL,0,0,0,0,5,1.7,"['4', '-1', '2', 0, 0]",4,-1,2,0,0,1.0,5120000
