Player,Matchs,Goals,Assists
Reinildo Mandava,7,0,0
Axel Witsel,7,0,0
Koke,7,0,2
Jan Oblak,6,0,0
Marcos Llorente,6,1,0
Álvaro Morata,7,4,0
João Félix,7,0,3
Yannick Carrasco,7,1,0
Nahuel Molina,4,0,0
Rodrigo ,6,1,1
Saúl Ñíguez,6,0,0
Geoffrey Kondogbia,5,0,1
José Mar,4,0,0
Stefan Savić,3,0,0
Thomas Lemar,4,0,1
Antoine Griezmann,7,2,0
Matheus Cunha,6,0,1
Ángel Correa,7,1,0
Mario Hermoso,3,1,0
Ivo Grbić,2,0,0
Felipe,1,0,0
Adrián Corral,0,0,0
Sergio Di,0,0,0
Antonio Gomis,0,0,0
Alejandro Iturbe,0,0,0
Renan Lodi,0,0,0
Alberto Moreno,0,0,0
Marco Moreno,0,0,0
