Player,Matchs,Goals,Assists
Édgar Badía,6,0,0
Pedro Bigas,6,0,0
Gerard Gumbau,6,0,0
Omar Mascarell,5,0,0
Enzo Roco,5,0,0
Tete Morente,5,0,0
Álex Collado,4,1,0
Helibelton Palacios,4,0,0
Ezequiel Ponce,6,1,0
Johan Mojica,3,0,0
Lucas Boyé,5,0,1
Roger Martí,4,0,1
Pol Lirola,3,0,0
Pere Milla,5,0,0
Carlos Clerc,2,0,0
Raúl Guti,4,0,0
John Donald,3,0,0
Fidel,3,0,0
Domingos Quina,5,0,0
Nicolás Ezequi,2,0,0
Gonzalo Verdú,1,0,0
Josan,5,0,0
Diego González,2,0,0
Alejandro Alfaro,1,0,0
Javier Pastore,1,0,0
Federico Fernández,0,0,0
Jesús López,0,0,0
Axel Werner,0,0,0
