Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_2,J_1,J_0,J_-1,J_-2,Avg_last_5_games,Value
5,FC Barcelona,Ter Stegen,PT,2,100,0,0,15,7.5,"['8', '7', 0, 0, 0]",8,7,0,0,0,3.0,5870000
5,FC Barcelona,Iñaki Peña,PT,2,0,0,0,0,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,700000
5,FC Barcelona,Eric García,DF,2,100,2,0,10,5,"['6', '4', 0, 0, 0]",6,4,0,0,0,2.0,2730000
5,FC Barcelona,Christensen,DF,2,100,0,0,10,5,"['5', '5', 0, 0, 0]",5,5,0,0,0,2.0,5140000
5,FC Barcelona,Ronald Araujo,DF,2,100,1,0,7,3.5,"['4', '3', 0, 0, 0]",4,3,0,0,0,1.4,9260000
5,FC Barcelona,Alejandro Balde,DF,2,50,0,0,5,5,"['2', '3', 0, 0, 0]",2,3,0,0,0,1.0,610000
5,FC Barcelona,Jordi Alba,DF,2,50,0,0,5,2.5,"['-', '5', 0, 0, 0]",0,5,0,0,0,1.0,7540000
5,FC Barcelona,Kounde,DF,2,0,0,0,0,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,10550000
5,FC Barcelona,Piqué,DF,2,0,0,0,0,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,3230000
5,FC Barcelona,Sergiño Dest,DF,2,0,0,0,0,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,1230000
5,FC Barcelona,Umtiti,DF,1,0,0,0,0,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,280000
5,FC Barcelona,Pedri,MD,2,100,0,0,14,7,"['5', '9', 0, 0, 0]",5,9,0,0,0,2.8,17480000
5,FC Barcelona,De Jong,MD,1,50,0,1,11,5.5,"['6', '5', 0, 0, 0]",6,5,0,0,0,2.2,6520000
5,FC Barcelona,Sergi Roberto,MD,1,0,0,0,6,3,"['2', '4', 0, 0, 0]",2,4,0,0,0,1.2,830000
5,FC Barcelona,Gavi,MD,2,100,1,2,6,3,"['2', '4', 0, 0, 0]",2,4,0,0,0,1.2,12500000
5,FC Barcelona,Kessié,MD,2,0,0,0,4,2,"['2', '2', 0, 0, 0]",2,2,0,0,0,0.8,5290000
5,FC Barcelona,Sergio Busquets,MD,2,50,0,0,3,3,"['3', '-', 0, 0, 0]",3,0,0,0,0,0.6,9140000
5,FC Barcelona,Pjanic,MD,1,0,0,0,0,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,1190000
5,FC Barcelona,Álvaro Sanz,MD,0,0,0,0,0,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0,220000
5,FC Barcelona,Lewandowski,DL,0,100,0,0,23,11.5,"['6', '17', 0, 0, 0]",6,17,0,0,0,4.6,33080000
5,FC Barcelona,Ansu Fati,DL,0,0,0,0,20,10,"['4', '16', 0, 0, 0]",4,16,0,0,0,4.0,16610000
5,FC Barcelona,Dembélé,DL,0,100,0,0,15,7.5,"['7', '8', 0, 0, 0]",7,8,0,0,0,3.0,19300000
5,FC Barcelona,Raphinha,DL,0,50,0,0,10,5,"['6', '4', 0, 0, 0]",6,4,0,0,0,2.0,19110000
5,FC Barcelona,Aubameyang,DL,0,0,0,0,3,3,"['3', '-', 0, 0, 0]",3,0,0,0,0,0.6,10990000
