Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games,Value
5,FC Barcelona,Ter Stegen,PT,3,100,0,0,22,7.3,"['8', '7', '7', 0, 0]",8,7,7,0,0,4.4,5800000
5,FC Barcelona,Iñaki Peña,PT,3,0,4,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,620000
5,FC Barcelona,Eric García,DF,3,100,0,0,17,5.7,"['5', '5', '7', 0, 0]",5,5,7,0,0,3.4,2930000
5,FC Barcelona,Kounde,DF,3,33,1,0,10,10,"['-', '-', '10', 0, 0]",0,0,10,0,0,2.0,10970000
5,FC Barcelona,Ronald Araujo,DF,3,100,1,2,10,3.3,"['4', '3', '3', 0, 0]",4,3,3,0,0,2.0,8070000
5,FC Barcelona,Alejandro Balde,DF,3,67,0,0,10,5,"['6', '4', '-', 0, 0]",6,4,0,0,0,2.0,1470000
5,FC Barcelona,Christensen,DF,3,67,0,0,10,5,"['-', '5', '5', 0, 0]",0,5,5,0,0,2.0,4770000
5,FC Barcelona,Jordi Alba,DF,2,33,0,0,5,2.5,"['2', '3', '-', 0, 0]",2,3,0,0,0,1.0,6870000
5,FC Barcelona,Piqué,DF,2,0,0,1,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,3040000
5,FC Barcelona,Sergiño Dest,DF,2,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,1050000
5,FC Barcelona,Pedri,MD,3,100,0,1,26,8.7,"['5', '9', '12', 0, 0]",5,9,12,0,0,5.2,19190000
5,FC Barcelona,Sergi Roberto,MD,3,0,0,0,17,5.7,"['2', '4', '11', 0, 0]",2,4,11,0,0,3.4,870000
5,FC Barcelona,De Jong,MD,2,33,0,0,15,5,"['6', '5', '4', 0, 0]",6,5,4,0,0,3.0,7660000
5,FC Barcelona,Gavi,MD,1,100,0,0,11,3.7,"['2', '4', '5', 0, 0]",2,4,5,0,0,2.2,12030000
5,FC Barcelona,Sergio Busquets,MD,2,67,0,0,8,4,"['3', '-', '5', 0, 0]",3,0,5,0,0,1.6,8820000
5,FC Barcelona,Kessié,MD,3,0,1,2,8,2.7,"['2', '2', '4', 0, 0]",2,2,4,0,0,1.6,5190000
5,FC Barcelona,Pjanic,MD,3,0,1,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,1160000
5,FC Barcelona,Álvaro Sanz,MD,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,220000
5,FC Barcelona,Lewandowski,DL,1,100,0,0,39,13,"['6', '17', '16', 0, 0]",6,17,16,0,0,7.8,30450000
5,FC Barcelona,Dembélé,DL,0,100,0,0,28,9.3,"['7', '8', '13', 0, 0]",7,8,13,0,0,5.6,21160000
5,FC Barcelona,Ansu Fati,DL,0,0,0,0,24,8,"['4', '16', '4', 0, 0]",4,16,4,0,0,4.8,18480000
5,FC Barcelona,Raphinha,DL,0,67,0,0,22,7.3,"['6', '4', '12', 0, 0]",6,4,12,0,0,4.4,17710000
5,FC Barcelona,Ferrán Torres,DL,0,33,0,0,4,2,"['-', '2', '2', 0, 0]",0,2,2,0,0,0.8,8080000
5,FC Barcelona,Aubameyang,DL,0,0,0,0,3,3,"['3', '-', '-', 0, 0]",3,0,0,0,0,0.6,9720000
5,FC Barcelona,Depay,DL,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,4690000
