Player,Matchs,Goals,Assists
Marc-André t,12,0,0
Robert Lewandowski,12,13,4
Pedri,12,2,0
Alejandro Balde,10,0,3
Gavi,12,0,1
Sergio Busquets,10,0,0
Ousmane Dembélé,12,3,5
Eric García,9,1,0
Frenkie ,11,1,0
Jules Koundé,7,0,2
Raphinha,11,1,2
Ronald Araújo,6,0,0
Jordi Alba,8,0,1
Ferrán Torres,11,2,0
Ansu Fati,12,3,3
Sergi Roberto,9,2,0
Gerard Piqué,5,0,0
Andreas Christensen,3,0,0
Marcos Alonso,5,0,0
Franck Kessié,7,0,0
Memphis Depay,2,1,0
Héctor Bellerín,3,0,0
Pablo Torre,1,0,0
Pierre-Emerick Aubameyang,1,0,0
Marc Casado,0,0,0
Iñaki Pe,0,0,0
Miralem Pjanić,0,0,0
Chadi Riad,0,0,0
Arnau Tenas,0,0,0
