Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games,Value
6,Getafe CF,David Soria,PT,3,100,0,0,11,3.7,"['0', '4', '11', 0, 0]",0,4,11,0,0,3.0,3570000
6,Getafe CF,Diego Conde,PT,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,230000
6,Getafe CF,Kiko Casilla,PT,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,290000
6,Getafe CF,Juan Iglesias,DF,3,100,0,0,13,4.3,"['5', '3', '4', 0, 0]",5,3,4,0,0,2.4,1120000
6,Getafe CF,Domingos Duarte,DF,3,100,0,0,11,3.7,"['4', '-1', '7', 0, 0]",4,-1,7,0,0,2.0,2130000
6,Getafe CF,Djené,DF,3,100,0,0,6,2,"['1', '0', '4', 0, 0]",1,0,4,0,0,1.0,2200000
6,Getafe CF,Gastón Álvarez,DF,3,33,1,0,4,4,"['-', '-', '4', 0, 0]",0,0,4,0,0,0.8,630000
6,Getafe CF,Kofi,DF,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,510000
6,Getafe CF,Omar Alderete,DF,2,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,2130000
6,Getafe CF,Damián Suárez,DF,2,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,2450000
6,Getafe CF,Mitrovic,DF,3,67,0,0,-1,-0.5,"['-1', '0', '-', 0, 0]",-1,0,0,0,0,-0.2,1180000
6,Getafe CF,Angileri,DF,3,67,0,0,-2,-1,"['1', '-3', '-', 0, 0]",1,-3,0,0,0,-0.4,1720000
6,Getafe CF,Mauro Arambarri,MD,3,100,0,0,15,5,"['6', '4', '5', 0, 0]",6,4,5,0,0,3.0,4570000
6,Getafe CF,Maksimovic,MD,1,67,0,0,6,2,"['2', '2', '2', 0, 0]",2,2,2,0,0,1.2,3710000
6,Getafe CF,Jaime Seoane,MD,2,33,0,0,6,2,"['2', '2', '2', 0, 0]",2,2,2,0,0,1.2,1870000
6,Getafe CF,Aleñá,MD,1,100,0,0,3,1,"['0', '1', '2', 0, 0]",0,1,2,0,0,0.6,1550000
6,Getafe CF,Moi Parra,MD,1,0,0,0,0,0,"['3', '-', '-', 0, 0]",3,0,0,0,0,0.6,290000
6,Getafe CF,Luis Milla,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,5230000
6,Getafe CF,Enes Ünal,DL,0,100,0,0,19,6.3,"['4', '11', '4', 0, 0]",4,11,4,0,0,3.8,13000000
6,Getafe CF,Portu,DL,0,33,0,0,7,2.3,"['3', '2', '4', 0, 0]",3,2,4,0,0,1.8,5480000
6,Getafe CF,Jaime Mata,DL,0,0,0,0,4,2,"['-1', '1', '4', 0, 0]",-1,1,4,0,0,0.8,520000
6,Getafe CF,Borja Mayoral,DL,0,100,0,0,3,1,"['2', '-', '2', 0, 0]",2,0,2,0,0,0.8,6850000
6,Getafe CF,Latasa,DL,0,0,0,0,2,2,"['-', '-', '2', 0, 0]",0,0,2,0,0,0.4,1190000
