Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_8,J_7,J_6,J_5,J_4,Avg_last_5_games,Value,img,squad_img
6,Getafe CF,David Soria,PT,8,100,0,2,28,3.5,"['-4', '6', '9', '2', '4']",-4,6,9,2,4,3.4,3190000,https://www.comuniate.com/caras3/2206.png,https://www.comuniate.com/intranet/equipos/fotos/20.jpg
6,Getafe CF,Diego Conde,PT,8,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,200000,https://www.comuniate.com/caras3/3121.png,https://www.comuniate.com/intranet/equipos/fotos/20.jpg
6,Getafe CF,Kiko Casilla,PT,8,0,2,1,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,330000,https://www.comuniate.com/caras3/645.png,https://www.comuniate.com/intranet/equipos/fotos/20.jpg
6,Getafe CF,Domingos Duarte,DF,8,100,1,0,36,4.5,"['2', '5', '11', '3', '4']",2,5,11,3,4,5.0,3260000,https://www.comuniate.com/caras3/2833.png,https://www.comuniate.com/intranet/equipos/fotos/20.jpg
6,Getafe CF,Gastón Álvarez,DF,8,50,1,0,33,6.6,"['4', '2', '14', '0', '-']",4,2,14,0,0,4.0,2590000,https://www.comuniate.com/caras3/3227.png,https://www.comuniate.com/intranet/equipos/fotos/20.jpg
6,Getafe CF,Juan Iglesias,DF,7,75,1,0,33,4.7,"['8', '6', '13', '2', '-']",8,6,13,2,0,5.8,2970000,https://www.comuniate.com/caras3/3052.png,https://www.comuniate.com/intranet/equipos/fotos/20.jpg
6,Getafe CF,Damián Suárez,DF,6,50,0,1,21,5.3,"['-', '4', '5', '12', '0']",0,4,5,12,0,4.2,3210000,https://www.comuniate.com/caras3/1360.png,https://www.comuniate.com/intranet/equipos/fotos/20.jpg
6,Getafe CF,Mitrovic,DF,6,63,0,0,14,2,"['2', '2', '7', '2', '2']",2,2,7,2,2,3.0,950000,https://www.comuniate.com/caras3/1815.png,https://www.comuniate.com/intranet/equipos/fotos/20.jpg
6,Getafe CF,Djené,DF,7,75,0,0,4,0.7,"['-1', '-', '-', '-1', '0']",-1,0,0,-1,0,-0.4,1810000,https://www.comuniate.com/caras3/2447.png,https://www.comuniate.com/intranet/equipos/fotos/20.jpg
6,Getafe CF,Amavi,DF,5,0,0,0,2,2,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,740000,https://www.comuniate.com/caras3/2426.png,https://www.comuniate.com/intranet/equipos/fotos/20.jpg
6,Getafe CF,Kofi,DF,5,0,2,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,360000,https://www.comuniate.com/caras3/3083.png,https://www.comuniate.com/intranet/equipos/fotos/20.jpg
6,Getafe CF,Omar Alderete,DF,4,0,1,0,0,0,"['-1', '0', '-', '-', '3']",-1,0,0,0,3,0.4,1600000,https://www.comuniate.com/caras3/3127.png,https://www.comuniate.com/intranet/equipos/fotos/20.jpg
6,Getafe CF,Angileri,DF,6,63,0,0,-1,-0.2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1140000,https://www.comuniate.com/caras3/3299.png,https://www.comuniate.com/intranet/equipos/fotos/20.jpg
6,Getafe CF,Mauro Arambarri,MD,3,75,0,0,24,4,"['0', '-', '4', '5', '-']",0,0,4,5,0,1.8,3290000,https://www.comuniate.com/caras3/2461.png,https://www.comuniate.com/intranet/equipos/fotos/20.jpg
6,Getafe CF,Jaime Seoane,MD,8,25,0,0,17,2.1,"['2', '4', '-', '3', '2']",2,4,0,3,2,2.2,1400000,https://www.comuniate.com/caras3/2948.png,https://www.comuniate.com/intranet/equipos/fotos/20.jpg
6,Getafe CF,Aleñá,MD,6,100,0,0,16,2,"['1', '5', '4', '-', '-']",1,5,4,0,0,2.0,1250000,https://www.comuniate.com/caras3/2377.png,https://www.comuniate.com/intranet/equipos/fotos/20.jpg
6,Getafe CF,Maksimovic,MD,2,50,0,0,16,2.7,"['0', '9', '2', '0', '2']",0,9,2,0,2,2.6,2430000,https://www.comuniate.com/caras3/2399.png,https://www.comuniate.com/intranet/equipos/fotos/20.jpg
6,Getafe CF,Algobia,MD,5,38,0,0,12,4,"['-', '5', '-', '1', '6']",0,5,0,1,6,2.4,470000,https://www.comuniate.com/caras3/3350.png,https://www.comuniate.com/intranet/equipos/fotos/20.jpg
6,Getafe CF,Luis Milla,MD,4,13,0,0,4,2,"['-', '-', '0', '-', '4']",0,0,0,0,4,0.8,4700000,https://www.comuniate.com/caras3/2965.png,https://www.comuniate.com/intranet/equipos/fotos/20.jpg
