Player,Matchs,Goals,Assists
Domingos Duarte,10,0,2
David Soria,10,0,0
Enes Ünal,10,2,2
Borja Mayoral,10,1,0
Carles Aleñá,10,2,1
Djené,8,0,0
Stefan Mitrović,9,0,0
Iglesias,9,1,0
Damián Suárez,6,1,0
Mauro Arambarri,6,0,1
Fabrizio Angileri,7,0,0
Nemanja Maksimović,8,0,0
Gastón Álvarez,5,2,0
Luis Milla,4,0,0
Ángel Algobia,5,0,0
Jaime Seoane,8,0,0
Portu,8,0,0
Munir ,6,1,0
Jaime Mata,5,0,0
Latasa,4,0,0
Moises Par,1,0,0
Jordan Amavi,1,0,0
Alejandro Revuel,1,0,0
Omar Alderete,0,0,0
Vicente Bellmunt,0,0,0
Kiko Casilla,0,0,0
Diego Conde,0,0,0
John Joe,0,0,0
Gorka Rive,0,0,0
Alex Rodríguez,0,0,0
