Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games,Value
18,Girona FC,Juan Carlos Martín,PT,3,100,0,0,12,4,"['2', '2', '8', 0, 0]",2,2,8,0,0,2.4,2410000
18,Girona FC,Santiago Bueno,DF,3,100,0,0,19,6.3,"['7', '6', '6', 0, 0]",7,6,6,0,0,3.8,2610000
18,Girona FC,Miguel Gutiérrez,DF,3,67,0,0,14,4.7,"['3', '5', '6', 0, 0]",3,5,6,0,0,2.8,2730000
18,Girona FC,David López,DF,3,100,0,0,11,3.7,"['2', '1', '8', 0, 0]",2,1,8,0,0,2.2,1850000
18,Girona FC,Yan Couto,DF,3,100,0,0,10,3.3,"['4', '2', '4', 0, 0]",4,2,4,0,0,2.0,1090000
18,Girona FC,Juanpe,DF,3,100,1,0,9,3,"['5', '2', '2', 0, 0]",5,2,2,0,0,1.8,2170000
18,Girona FC,Javi Hernández,DF,3,0,0,0,5,2.5,"['-', '1', '4', 0, 0]",0,1,4,0,0,1.0,760000
18,Girona FC,Valery,DF,3,33,1,0,2,2,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4,1030000
18,Girona FC,Arnau Martínez,DF,3,0,0,0,2,2,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4,1700000
18,Girona FC,Bernardo,DF,2,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,2440000
18,Girona FC,Aleix García,MD,3,100,0,1,21,7,"['6', '8', '7', 0, 0]",6,8,7,0,0,4.2,5140000
18,Girona FC,Stuani,DL,3,67,0,1,14,4.7,"['2', '8', '4', 0, 0]",2,8,4,0,0,2.8,8600000
18,Girona FC,Yangel Herrera,MD,3,67,0,0,10,3.3,"['2', '7', '1', 0, 0]",2,7,1,0,0,2.0,2620000
18,Girona FC,Samu Sáiz,MD,3,33,0,0,8,2.7,"['1', '3', '4', 0, 0]",1,3,4,0,0,1.6,2300000
18,Girona FC,Rodrigo Riquelme,MD,2,67,0,0,7,3.5,"['2', '5', '-', 0, 0]",2,5,0,0,0,1.4,3860000
18,Girona FC,Óscar Ureña,MD,1,33,0,0,5,2.5,"['3', '-', '2', 0, 0]",3,0,2,0,0,1.0,730000
18,Girona FC,Ramón Terrats,MD,2,33,0,0,4,1.3,"['-', '2', '2', 0, 0]",0,2,2,0,0,0.8,1160000
18,Girona FC,Reinier,MD,2,0,0,0,4,2,"['2', '1', '1', 0, 0]",2,1,1,0,0,0.8,1500000
18,Girona FC,Joel Roca,MD,1,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,400000
18,Girona FC,Iván Martín,MD,1,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,360000
18,Girona FC,Borja García,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,1080000
18,Girona FC,Ibrahima Kébé,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,290000
18,Girona FC,Valentín Castellanos,DL,0,100,0,0,15,5,"['4', '9', '2', 0, 0]",4,9,2,0,0,3.0,6590000
