Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_11,J_10,J_9,J_8,J_7,Avg_last_5_games,img,squad_img
18,Girona FC,Juan Carlos Martín,PT,25,2.5,2170000,91,"['-4', '4', '2', '2', '-']",-4,4,2,2,0,0.8,https://www.comuniate.com/caras3/1887.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Gazzaniga,PT,3,3,570000,9,"['-', '-', '-', '-', '3']",0,0,0,0,3,0.6,https://www.comuniate.com/caras3/3070.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Toni Fuidias,PT,0,0,290000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,https://www.comuniate.com/caras3/3338.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Santiago Bueno,DF,53,4.8,4640000,100,"['2', '7', '1', '4', '5']",2,7,1,4,5,3.8,https://www.comuniate.com/caras3/3280.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Arnau Martínez,DF,38,4.8,2740000,64,"['7', '2', '5', '2', '-']",7,2,5,2,0,3.2,https://www.comuniate.com/caras3/3279.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Miguel Gutiérrez,DF,37,3.4,3580000,82,"['2', '0', '2', '2', '2']",2,0,2,2,2,1.6,https://www.comuniate.com/caras3/3082.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Yan Couto,DF,29,3.2,1310000,36,"['3', '3', '-', '2', '2']",3,3,0,2,2,2.0,https://www.comuniate.com/caras3/3304.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,David López,DF,27,5.4,1540000,45,"['-', '-', '-', '-', '12']",0,0,0,0,12,2.4,https://www.comuniate.com/caras3/1707.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Juanpe,DF,19,2.7,1360000,64,"['1', '-', '-', '-', '-']",1,0,0,0,0,0.2,https://www.comuniate.com/caras3/2386.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Valery,DF,17,2.8,750000,9,"['1', '5', '2', '5', '2']",1,5,2,5,2,3.0,https://www.comuniate.com/caras3/2692.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Bernardo,DF,13,1.9,2080000,55,"['1', '4', '6', '-2', '-']",1,4,6,-2,0,1.8,https://www.comuniate.com/caras3/1335.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Javi Hernández,DF,13,1.9,600000,27,"['-', '2', '4', '-', '2']",0,2,4,0,2,1.6,https://www.comuniate.com/caras3/3321.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Aleix García,MD,83,7.5,9690000,100,"['6', '9', '10', '8', '5']",6,9,10,8,5,7.6,https://www.comuniate.com/caras3/2039.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Rodrigo Riquelme,MD,44,4.4,4660000,82,"['6', '9', '2', '7', '2']",6,9,2,7,2,5.2,https://www.comuniate.com/caras3/2859.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Oriol Romeu,MD,40,5,4290000,73,"['4', '2', '6', '3', '2']",4,2,6,3,2,3.4,https://www.comuniate.com/caras3/1739.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Yangel Herrera,MD,29,3.6,2320000,55,"['2', '4', '6', '1', '6']",2,4,6,1,6,3.8,https://www.comuniate.com/caras3/2727.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Toni Villa,MD,19,2.1,930000,18,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,https://www.comuniate.com/caras3/2603.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Reinier,MD,19,3.2,2200000,27,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,https://www.comuniate.com/caras3/3322.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Samu Sáiz,MD,18,3,1710000,9,"['-', '2', '1', '4', '2']",0,2,1,4,2,1.8,https://www.comuniate.com/caras3/2694.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Ramón Terrats,MD,7,1.8,740000,9,"['-', '3', '-', '-', '-']",0,3,0,0,0,0.6,https://www.comuniate.com/caras3/3282.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Óscar Ureña,MD,7,2.3,500000,9,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,https://www.comuniate.com/caras3/3283.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Joel Roca,MD,0,0,350000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,https://www.comuniate.com/caras3/3326.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Iván Martín,MD,0,0,300000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,https://www.comuniate.com/caras3/3125.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Borja García,MD,0,0,570000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,https://www.comuniate.com/caras3/1356.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Ibrahima Kébé,MD,0,0,270000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,https://www.comuniate.com/caras3/3281.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Valentín Castellanos,DL,41,3.7,6230000,100,"['7', '2', '5', '2', '1']",7,2,5,2,1,3.4,https://www.comuniate.com/caras3/3303.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Stuani,DL,32,4.6,6690000,27,"['-', '2', '10', '4', '2']",0,2,10,4,2,3.6,https://www.comuniate.com/caras3/1200.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
18,Girona FC,Manu Vallejo,DL,25,3.6,1430000,18,"['6', '-', '5', '2', '0']",6,0,5,2,0,2.6,https://www.comuniate.com/caras3/2762.png,https://www.comuniate.com/intranet/equipos/fotos/21.jpg
