Player,Matchs,Goals,Assists
Santiago Bueno,7,0,1
Juan Carlos,7,0,0
Aleix García,7,0,2
Juanpe,7,0,0
Valentín Castellanos,7,2,0
Miguel Gutiérrez,7,0,1
Rodrigo Riquelme,6,1,0
Oriol Romeu,4,1,0
Arnau Martinez,5,2,0
David López,4,0,0
Yan Couto,6,0,0
Reinier,5,1,0
Bernardo Espinosa,4,0,1
Cristhian Stuani,3,1,0
Yangel Herrera,4,0,1
Samuel Sáiz,6,1,0
Ramón Terrats,3,0,0
Manu Vallejo,4,0,1
Oscar Ureña,3,0,0
Valery,2,0,0
Toni Villa,3,0,0
Javi,4,0,0
Casals,2,0,0
Ricard Artero,0,0,0
Toni Fuidias,0,0,0
Paulo Gazzaniga,0,0,0
Iván Martín,0,0,0
Matas,0,0,0
Eric Monjonell,0,0,0
Álex Sala,0,0,0
Pau Vict,0,0,0
