Player,Matchs,Goals,Assists
Joseph Aidoo,7,0,0
Javi Galán,7,0,1
Agustín Marchesín,7,0,0
Unai Núñez,7,0,0
Hugo Mallo,7,0,0
Fran Beltrán,7,0,1
Iago Aspas,7,5,1
Franco Cervi,6,0,1
Óscar Rodrígu,6,1,0
Renato Tapia,7,0,0
Carles Pérez,7,0,1
Jørgen Stra,4,0,1
Gonçalo Paciência,4,1,0
Augusto Solari,5,0,1
Gabriel Veiga,7,2,1
Luca ,4,0,0
Óscar Mingueza,3,0,0
Carlos Dominguez,1,0,0
Miguel Baeza,0,0,0
Pablo Durán,0,0,0
Francisco Lopez,0,0,0
Miguel Rodríguez,0,0,0
Williot Swedberg,0,0,0
Kevin Vázquez,0,0,0
Iván Villar,0,0,0
