Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_12,J_11,J_10,J_9,J_8,Avg_last_5_games,Value,img,squad_img
4,RCD Espanyol de Barcelona,Lecomte,PT,12,67,0,0,13,1.6,"['-2', '7', '5', '1', '4']",-2,7,5,1,4,3.0,1540000,https://www.comuniate.com/caras3/3152.png,https://www.comuniate.com/intranet/equipos/fotos/12.jpg
4,RCD Espanyol de Barcelona,Álvaro Fernández,PT,12,33,7,0,10,2.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1340000,https://www.comuniate.com/caras3/2331.png,https://www.comuniate.com/intranet/equipos/fotos/12.jpg
4,RCD Espanyol de Barcelona,Joan García,PT,12,0,0,3,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,190000,https://www.comuniate.com/caras3/3214.png,https://www.comuniate.com/intranet/equipos/fotos/12.jpg
4,RCD Espanyol de Barcelona,Brian Oliván,DF,12,100,1,1,56,4.7,"['7', '8', '6', '6', '5']",7,8,6,6,5,6.4,3130000,https://www.comuniate.com/caras3/2940.png,https://www.comuniate.com/intranet/equipos/fotos/12.jpg
4,RCD Espanyol de Barcelona,Leandro Cabrera,DF,12,100,0,0,44,3.7,"['3', '6', '5', '3', '3']",3,6,5,3,3,4.0,3360000,https://www.comuniate.com/caras3/1019.png,https://www.comuniate.com/intranet/equipos/fotos/12.jpg
4,RCD Espanyol de Barcelona,Calero,DF,12,67,2,2,37,3.7,"['4', '4', '3', '1', '-']",4,4,3,1,0,2.4,2200000,https://www.comuniate.com/caras3/2600.png,https://www.comuniate.com/intranet/equipos/fotos/12.jpg
4,RCD Espanyol de Barcelona,Óscar Gil,DF,9,67,0,0,34,3.8,"['2', '6', '-', '9', '3']",2,6,0,9,3,4.0,2100000,https://www.comuniate.com/caras3/2976.png,https://www.comuniate.com/intranet/equipos/fotos/12.jpg
4,RCD Espanyol de Barcelona,Rubén Sánchez Sáez,DF,8,25,0,0,18,4.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1340000,https://www.comuniate.com/caras3/3185.png,https://www.comuniate.com/intranet/equipos/fotos/12.jpg
4,RCD Espanyol de Barcelona,Sergi Gómez,DF,10,75,0,0,16,1.8,"['3', '-', '3', '2', '5']",3,0,3,2,5,2.6,1350000,https://www.comuniate.com/caras3/1889.png,https://www.comuniate.com/intranet/equipos/fotos/12.jpg
4,RCD Espanyol de Barcelona,Aleix Vidal,DF,9,25,0,1,13,1.9,"['4', '2', '2', '1', '2']",4,2,2,1,2,2.2,730000,https://www.comuniate.com/caras3/1716.png,https://www.comuniate.com/intranet/equipos/fotos/12.jpg
4,RCD Espanyol de Barcelona,Omar El Hilali,DF,11,8,1,0,9,2.3,"['-', '-', '2', '-', '-']",0,0,2,0,0,0.4,330000,https://www.comuniate.com/caras3/3347.png,https://www.comuniate.com/intranet/equipos/fotos/12.jpg
4,RCD Espanyol de Barcelona,Simo,DF,7,0,3,1,3,1.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,230000,https://www.comuniate.com/caras3/0.png,https://www.comuniate.com/intranet/equipos/fotos/12.jpg
4,RCD Espanyol de Barcelona,Adrià Pedrosa,DF,4,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,980000,https://www.comuniate.com/caras3/2655.png,https://www.comuniate.com/intranet/equipos/fotos/12.jpg
4,RCD Espanyol de Barcelona,Lluís Recasens,DF,7,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240000,https://www.comuniate.com/caras3/3169.png,https://www.comuniate.com/intranet/equipos/fotos/12.jpg
4,RCD Espanyol de Barcelona,Sergi Darder,MD,4,100,0,0,81,6.8,"['5', '7', '4', '2', '7']",5,7,4,2,7,5.0,10550000,https://www.comuniate.com/caras3/1769.png,https://www.comuniate.com/intranet/equipos/fotos/12.jpg
4,RCD Espanyol de Barcelona,Edu Expósito,MD,8,83,0,0,72,6,"['7', '5', '4', '6', '6']",7,5,4,6,6,5.6,8060000,https://www.comuniate.com/caras3/2379.png,https://www.comuniate.com/intranet/equipos/fotos/12.jpg
4,RCD Espanyol de Barcelona,Vinicius Souza,MD,9,100,0,0,57,4.8,"['4', '7', '5', '4', '5']",4,7,5,4,5,5.0,4090000,https://www.comuniate.com/caras3/3295.png,https://www.comuniate.com/intranet/equipos/fotos/12.jpg
4,RCD Espanyol de Barcelona,Javi Puado,MD,4,58,0,0,33,3,"['1', '4', '1', '10', '2']",1,4,1,10,2,3.6,2450000,https://www.comuniate.com/caras3/2637.png,https://www.comuniate.com/intranet/equipos/fotos/12.jpg
4,RCD Espanyol de Barcelona,Keidi Bare,MD,6,8,1,0,25,2.8,"['2', '2', '3', '5', '2']",2,2,3,5,2,2.8,740000,https://www.comuniate.com/caras3/3092.png,https://www.comuniate.com/intranet/equipos/fotos/12.jpg
