Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games,Value
4,RCD Espanyol de Barcelona,Joan García,PT,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,200000
4,RCD Espanyol de Barcelona,Lecomte,PT,3,100,0,0,-2,-0.7,"['1', '0', '-3', 0, 0]",1,0,-3,0,0,-0.4,2750000
4,RCD Espanyol de Barcelona,Rubén Sánchez Sáez,DF,3,100,0,0,15,5,"['5', '6', '4', 0, 0]",5,6,4,0,0,3.0,2030000
4,RCD Espanyol de Barcelona,Leandro Cabrera,DF,3,100,2,0,14,4.7,"['5', '5', '4', 0, 0]",5,5,4,0,0,2.8,4090000
4,RCD Espanyol de Barcelona,Calero,DF,3,67,0,0,11,3.7,"['4', '2', '5', 0, 0]",4,2,5,0,0,2.2,1270000
4,RCD Espanyol de Barcelona,Brian Oliván,DF,3,100,0,0,9,3,"['6', '2', '1', 0, 0]",6,2,1,0,0,1.8,1940000
4,RCD Espanyol de Barcelona,Óscar Gil,DF,3,100,0,0,3,1,"['1', '0', '2', 0, 0]",1,0,2,0,0,0.6,2260000
4,RCD Espanyol de Barcelona,Adrià Pedrosa,DF,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,1340000
4,RCD Espanyol de Barcelona,Lluís Recasens,DF,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,220000
4,RCD Espanyol de Barcelona,Aleix Vidal,DF,3,0,1,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,690000
4,RCD Espanyol de Barcelona,Sergi Gómez,DF,2,67,0,0,-6,-3,"['2', '-8', '-', 0, 0]",2,-8,0,0,0,-1.2,1570000
4,RCD Espanyol de Barcelona,Edu Expósito,MD,3,67,0,0,22,7.3,"['11', '6', '5', 0, 0]",11,6,5,0,0,4.4,4610000
4,RCD Espanyol de Barcelona,Sergi Darder,MD,2,100,0,0,16,5.3,"['2', '8', '6', 0, 0]",2,8,6,0,0,3.2,6520000
4,RCD Espanyol de Barcelona,Vinicius Souza,MD,2,100,0,0,13,4.3,"['2', '7', '4', 0, 0]",2,7,4,0,0,2.6,3050000
4,RCD Espanyol de Barcelona,Nico Melamed,MD,1,67,0,0,7,2.3,"['3', '2', '2', 0, 0]",3,2,2,0,0,1.4,1540000
4,RCD Espanyol de Barcelona,Keidi Bare,MD,2,0,0,0,6,3,"['-', '4', '2', 0, 0]",0,4,2,0,0,1.2,830000
4,RCD Espanyol de Barcelona,Javi Puado,MD,1,33,0,0,4,2,"['-', '2', '2', 0, 0]",0,2,2,0,0,0.8,1910000
4,RCD Espanyol de Barcelona,Luca Koleosho,MD,1,0,0,0,3,1.5,"['1', '2', '-', 0, 0]",1,2,0,0,0,0.6,260000
4,RCD Espanyol de Barcelona,Lazo,MD,0,0,0,0,2,2,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4,750000
4,RCD Espanyol de Barcelona,Gori,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,220000
4,RCD Espanyol de Barcelona,Villahermosa,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,220000
4,RCD Espanyol de Barcelona,Pol Lozano,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,270000
4,RCD Espanyol de Barcelona,Joselu,DL,0,100,0,0,26,8.7,"['10', '5', '11', 0, 0]",10,5,11,0,0,5.2,15070000
4,RCD Espanyol de Barcelona,Dani Gómez,DL,0,0,0,0,2,2,"['-', '-', '2', 0, 0]",0,0,2,0,0,0.4,1000000
