Player,Matchs,Goals,Assists
Leandro Cabrera,7,0,0
Joselu,7,4,0
Sergi Darder,7,1,1
Brian Oliván,7,0,0
Vinicius Souza,7,0,0
Edu Expósito,7,2,0
Óscar Gil,5,0,0
Fernando Calero,6,0,0
Sergi Gómez,5,0,0
Álvaro Fernández,4,0,0
Martin Braithwaite,4,2,1
Javi Puado,6,0,0
Benjamin Lecomte,3,0,0
Rubén,4,0,0
Nico Ribaudo,5,0,0
Omar ,3,0,0
Keidi Bare,4,0,0
Aleix Vidal,2,0,0
Dani Gómez,4,0,0
Adri Embarba,1,0,0
Wassim Boullif,2,0,0
Luca Koleosho,2,0,0
José Carl,1,0,0
Pol Lozano,2,0,0
Nabil Touaizi,1,0,0
Fortuño,0,0,0
Joan García,0,0,0
Daniel Villahermosa,0,0,0
