Player,Matchs,Goals,Assists
Antonio Raillo,12,1,0
Predrag Rajković,12,0,0
Pablo Maffeo,12,1,0
Martin Valjent,11,0,0
Lee Kangin,12,2,3
Vedat Muriqi,10,6,0
Copete,10,0,0
Jaume Costa,9,0,0
Iñigo Ru,10,0,0
Dani Rodríguez,12,0,2
Rodrigo Battaglia,9,0,0
Antonio Sánchez,12,0,0
Iddrisu Baba,9,0,0
Clément Grenier,8,0,0
Matija Nastasić,3,0,0
Braian Cufré,3,0,0
Amath,5,0,0
Giovanni González,3,0,1
Ángel Rodríguez,5,0,0
Abdón Prats,8,0,0
Franco Russo,1,0,0
Lago Junior,5,0,0
Javi,1,0,0
Josep Anto,0,0,0
Pere Joan,0,0,0
Miguel Llabrés,0,0,0
Leonardo Román,0,0,0
