Player,Matchs,Goals,Assists
Iván Balliu,6,0,0
Catena,6,0,0
Stole Dimitrievski,6,0,0
Francisco Garcia,6,0,1
Álvaro García,6,0,1
Óscar Trejo,6,1,1
Sergio Camello,6,0,1
Florian Lejeune,5,1,0
Pathé Ciss,6,1,0
Óscar Valentín,6,0,0
Isaac Palaz,5,2,0
Unai López,5,0,1
Santi Comesaña,4,0,0
Salvi,4,0,0
Radamel Falcao,6,1,0
Bebé,2,0,0
Randy Ntekja,3,0,0
José Pozo,3,0,0
Abdul Mumin,1,0,0
Mario Suárez,1,0,0
Pep Chavarría,1,0,0
Mario Hernández,0,0,0
Diego López,0,0,0
Diego Méndez,0,0,0
Morro,0,0,0
Pablo Muñoz,0,0,0
Esteban Saveljich,0,0,0
