Player,Matchs,Goals,Assists
Álex Moreno,5,0,1
Rui Silva,5,0,0
Guido Rodríguez,5,0,0
Borja Iglesias,5,4,1
Édgar González,4,0,0
William Carvalho,4,0,1
Germán Pezzella,4,0,0
Juanmi,4,2,0
Rodrigo,4,1,0
Nabil Fekir,4,0,1
Aitor Ruibal,5,0,0
Sergio Canales,3,1,0
Luiz Felipe,3,0,0
Youssouf Sabaly,2,0,0
Luiz Henrique,3,0,1
Andrés Guardado,3,0,0
Roberto González,2,0,0
Willian José,2,0,0
Joaquín,1,0,0
Paul Akouokou,2,0,0
Loren Morón,2,0,0
Fran Delgado,1,0,0
Juan Miranda,1,0,0
Claudio Bravo,0,0,0
Daniel Martín,0,0,0
Martín Montoya,0,0,0
Víctor Ruiz,0,0,0
