Player,Matchs,Goals,Assists
Thibaut Courtois,6,0,0
Vinicius Júnior,6,4,1
David Alaba,6,1,2
Federico Valverde,6,3,1
Aurélien Tchouaméni,5,0,2
Ferland Mendy,5,0,0
Luka Modrić,6,1,1
Karim Benzema,4,3,1
Éder Militão,4,0,0
Toni Kroos,5,0,1
Antonio Rüdiger,6,1,0
Rodrygo,4,3,2
Dani Carvajal,5,0,1
Lucas Vázquez,4,1,0
Eduardo Camavinga,6,0,0
Nacho,2,0,0
Dani Ceballos,6,0,1
Eden Hazard,3,0,0
Marco Asensio,2,0,0
Casemiro,1,0,0
Luis López,0,0,0
Andriy Lunin,0,0,0
Mariano,0,0,0
Álvaro Odriozola,0,0,0
Jesús Vallejo,0,0,0
