Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games,Value
11,Real Sociedad de Fútbol,Alex Remiro,PT,3,100,0,0,17,5.7,"['7', '-1', '11', 0, 0]",7,-1,11,0,0,3.4,5190000
11,Real Sociedad de Fútbol,Andoni Zubiaurre,PT,3,0,1,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,400000
11,Real Sociedad de Fútbol,Le Normand,DF,3,100,0,0,12,4,"['6', '1', '5', 0, 0]",6,1,5,0,0,2.4,6380000
11,Real Sociedad de Fútbol,Zubeldia,DF,3,100,0,1,11,3.7,"['5', '2', '4', 0, 0]",5,2,4,0,0,2.2,1700000
11,Real Sociedad de Fútbol,Aritz Elustondo,DF,3,67,0,1,10,3.3,"['6', '0', '4', 0, 0]",6,0,4,0,0,2.0,3910000
11,Real Sociedad de Fútbol,Gorosabel,DF,3,33,0,0,7,3.5,"['-', '2', '5', 0, 0]",0,2,5,0,0,1.4,1810000
11,Real Sociedad de Fútbol,Aihen Muñoz,DF,3,67,1,0,5,1.7,"['2', '-1', '4', 0, 0]",2,-1,4,0,0,1.0,780000
11,Real Sociedad de Fútbol,Diego Rico,DF,3,33,0,0,3,3,"['3', '-', '-', 0, 0]",3,0,0,0,0,0.6,2620000
11,Real Sociedad de Fútbol,Jon Pacheco,DF,3,0,0,0,2,2,"['-', '-', '2', 0, 0]",0,0,2,0,0,0.4,360000
11,Real Sociedad de Fútbol,Álex Sola,DF,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,310000
11,Real Sociedad de Fútbol,Mikel Merino,MD,2,100,1,0,18,6,"['11', '6', '1', 0, 0]",11,6,1,0,0,3.6,10960000
11,Real Sociedad de Fútbol,Brais Méndez,MD,2,100,0,0,18,6,"['5', '2', '11', 0, 0]",5,2,11,0,0,3.6,7540000
11,Real Sociedad de Fútbol,Zubimendi,MD,3,100,0,0,17,5.7,"['4', '2', '11', 0, 0]",4,2,11,0,0,3.4,4370000
11,Real Sociedad de Fútbol,Kubo,MD,1,100,0,0,14,4.7,"['6', '4', '4', 0, 0]",6,4,4,0,0,2.8,5920000
11,Real Sociedad de Fútbol,Silva,MD,3,100,0,0,14,4.7,"['9', '3', '2', 0, 0]",9,3,2,0,0,2.8,7330000
11,Real Sociedad de Fútbol,Illarramendi,MD,2,0,0,0,4,2,"['3', '-', '1', 0, 0]",3,0,1,0,0,0.8,1350000
11,Real Sociedad de Fútbol,Ander Barrenetxea,MD,2,0,0,0,3,1.5,"['2', '-', '1', 0, 0]",2,0,1,0,0,0.6,870000
11,Real Sociedad de Fútbol,Beñat Turrientes,MD,1,0,0,0,2,2,"['-', '2', '-', 0, 0]",0,2,0,0,0,0.4,390000
11,Real Sociedad de Fútbol,Robert Navarro,MD,1,0,0,0,2,2,"['-', '2', '-', 0, 0]",0,2,0,0,0,0.4,380000
11,Real Sociedad de Fútbol,Merquelanz,MD,1,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,300000
11,Real Sociedad de Fútbol,Ander Martín,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,210000
11,Real Sociedad de Fútbol,Guevara,MD,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,290000
11,Real Sociedad de Fútbol,Karrikaburu,DL,0,0,0,0,10,3.3,"['6', '2', '2', 0, 0]",6,2,2,0,0,2.0,1770000
11,Real Sociedad de Fútbol,Ali Cho,DL,0,33,0,0,6,2,"['0', '2', '4', 0, 0]",0,2,4,0,0,1.2,6740000
11,Real Sociedad de Fútbol,Carlos Fernández,DL,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,990000
11,Real Sociedad de Fútbol,Sorloth,DL,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,2000000
11,Real Sociedad de Fútbol,Oyarzabal,DL,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,4890000
