Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_11,J_10,J_9,J_8,J_7,Avg_last_5_games,img,squad_img
11,Real Sociedad de Fútbol,Alex Remiro,PT,54,4.9,5410000,100,"['1', '7', '3', '8', '2']",1,7,3,8,2,4.2,https://www.comuniate.com/caras3/2369.png,https://www.comuniate.com/intranet/equipos/fotos/14.jpg
11,Real Sociedad de Fútbol,Andoni Zubiaurre,PT,0,0,350000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,https://www.comuniate.com/caras3/3323.png,https://www.comuniate.com/intranet/equipos/fotos/14.jpg
11,Real Sociedad de Fútbol,Zubeldia,DF,35,4.4,2420000,64,"['-', '-', '12', '-', '5']",0,0,12,0,5,3.4,https://www.comuniate.com/caras3/2371.png,https://www.comuniate.com/intranet/equipos/fotos/14.jpg
11,Real Sociedad de Fútbol,Aritz Elustondo,DF,32,3.6,2930000,55,"['2', '5', '4', '7', '-']",2,5,4,7,0,3.6,https://www.comuniate.com/caras3/2016.png,https://www.comuniate.com/intranet/equipos/fotos/14.jpg
11,Real Sociedad de Fútbol,Le Normand,DF,31,3.9,5950000,55,"['-', '6', '4', '2', '5']",0,6,4,2,5,3.4,https://www.comuniate.com/caras3/2691.png,https://www.comuniate.com/intranet/equipos/fotos/14.jpg
11,Real Sociedad de Fútbol,Gorosabel,DF,28,3.1,2500000,64,"['2', '-', '6', '4', '4']",2,0,6,4,4,3.2,https://www.comuniate.com/caras3/2491.png,https://www.comuniate.com/intranet/equipos/fotos/14.jpg
11,Real Sociedad de Fútbol,Jon Pacheco,DF,19,3.2,720000,45,"['0', '2', '2', '-', '-']",0,2,2,0,0,0.8,https://www.comuniate.com/caras3/2918.png,https://www.comuniate.com/intranet/equipos/fotos/14.jpg
11,Real Sociedad de Fútbol,Aihen Muñoz,DF,19,2.1,1550000,73,"['1', '6', '-', '5', '-']",1,6,0,5,0,2.4,https://www.comuniate.com/caras3/2719.png,https://www.comuniate.com/intranet/equipos/fotos/14.jpg
11,Real Sociedad de Fútbol,Álex Sola,DF,19,4.8,660000,18,"['2', '10', '-', '-', '-']",2,10,0,0,0,2.4,https://www.comuniate.com/caras3/2746.png,https://www.comuniate.com/intranet/equipos/fotos/14.jpg
11,Real Sociedad de Fútbol,Diego Rico,DF,15,3.8,2460000,27,"['-', '-', '2', '4', '6']",0,0,2,4,6,2.4,https://www.comuniate.com/caras3/2301.png,https://www.comuniate.com/intranet/equipos/fotos/14.jpg
11,Real Sociedad de Fútbol,Brais Méndez,MD,82,7.5,14360000,91,"['8', '12', '8', '6', '3']",8,12,8,6,3,7.4,https://www.comuniate.com/caras3/2490.png,https://www.comuniate.com/intranet/equipos/fotos/14.jpg
