Player,Matchs,Goals,Assists
Álex Remiro,5,0,0
Martín Zubimendi,5,0,1
Mikel Merino,5,0,1
Igor Zubeldia,5,0,0
Brais Méndez,5,2,0
Aihen Muñoz,5,0,0
Robin ,4,0,0
David Silva,5,0,0
Takefusa Kubo,5,1,0
Mohamed A,5,0,2
Aritz Elustondo,4,0,0
Andoni Gorosabel,4,0,0
Alexander Isak,2,1,0
Alexander Sørloth,2,0,0
Jon Pacheco,2,0,0
Umar Sadiq,2,1,0
Diego Rico,1,0,0
Alex Sola,2,0,0
Beñat Turrientes,2,0,0
Jon Karrikaburu,4,0,0
Ander Barrenetxea,3,0,0
Asier Illarramendi,2,0,0
Roberto Navarro,1,0,0
Egoitz Arana,0,0,0
Urko González,0,0,0
Ander Guevara,0,0,0
Unai Marrero,0,0,0
Ander Martin,0,0,0
Olasagasti,0,0,0
Andoni Zubiaurre,0,0,0
