Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games,Value
14,Real Valladolid CF,Masip,PT,3,33,0,0,3,3,"['-', '-', '3', 0, 0]",0,0,3,0,0,0.6,1400000
14,Real Valladolid CF,Sergio Asenjo,PT,3,67,0,0,-1,-0.5,"['-1', '0', '-', 0, 0]",-1,0,0,0,0,-0.2,1710000
14,Real Valladolid CF,Javi Sánchez,DF,3,67,0,0,7,3.5,"['6', '1', '-', 0, 0]",6,1,0,0,0,1.4,1120000
14,Real Valladolid CF,Jawad El Yamiq,DF,3,67,0,0,7,3.5,"['-', '5', '2', 0, 0]",0,5,2,0,0,1.4,1760000
14,Real Valladolid CF,Joaquín Fernández,DF,3,67,0,0,5,1.7,"['1', '2', '2', 0, 0]",1,2,2,0,0,1.0,1320000
14,Real Valladolid CF,Luis Pérez,DF,2,100,0,0,4,1.3,"['2', '2', '0', 0, 0]",2,2,0,0,0,0.8,1420000
14,Real Valladolid CF,Lucas Olaza,DF,2,0,0,0,3,1.5,"['1', '2', '-', 0, 0]",1,2,0,0,0,0.6,670000
14,Real Valladolid CF,Sergio Escudero,DF,3,100,0,0,2,0.7,"['1', '2', '-1', 0, 0]",1,2,-1,0,0,0.4,1430000
14,Real Valladolid CF,Zouhair Feddal,DF,2,0,1,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,1100000
14,Real Valladolid CF,Anuar,MD,3,67,0,0,15,7.5,"['-', '14', '1', 0, 0]",0,14,1,0,0,3.0,1810000
14,Real Valladolid CF,Iván Sánchez,MD,3,67,0,0,12,4,"['6', '4', '2', 0, 0]",6,4,2,0,0,2.4,2160000
14,Real Valladolid CF,Álvaro Aguado,MD,2,100,0,0,11,3.7,"['3', '6', '2', 0, 0]",3,6,2,0,0,2.2,2690000
14,Real Valladolid CF,Óscar Plano,MD,2,0,0,0,10,3.3,"['2', '2', '6', 0, 0]",2,2,6,0,0,2.0,1490000
14,Real Valladolid CF,Kike Pérez,MD,3,67,0,1,9,3,"['6', '2', '1', 0, 0]",6,2,1,0,0,1.8,1450000
14,Real Valladolid CF,Monchu,MD,2,67,0,0,8,2.7,"['4', '2', '2', 0, 0]",4,2,2,0,0,1.6,1180000
14,Real Valladolid CF,Roque Mesa,MD,1,67,0,0,6,2,"['2', '2', '2', 0, 0]",2,2,2,0,0,1.2,2530000
14,Real Valladolid CF,Toni Villa,MD,1,33,0,0,3,1.5,"['1', '-', '2', 0, 0]",1,0,2,0,0,0.6,1360000
14,Real Valladolid CF,Gonzalo Plata,MD,3,33,0,0,2,2,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4,3860000
14,Real Valladolid CF,Mickael Malsa,MD,2,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,850000
14,Real Valladolid CF,Hugo Vallejo,MD,1,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,280000
14,Real Valladolid CF,Sergio León,DL,1,33,0,0,8,2.7,"['2', '5', '1', 0, 0]",2,5,1,0,0,1.6,2140000
14,Real Valladolid CF,Sergi Guardiola,DL,0,67,0,0,4,2,"['-', '2', '2', 0, 0]",0,2,2,0,0,0.8,3660000
14,Real Valladolid CF,Roberto Arroyo,DL,0,0,0,0,2,2,"['-', '-', '2', 0, 0]",0,0,2,0,0,0.4,160000
14,Real Valladolid CF,Shon Weissman,DL,0,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,3580000
