Player,Matchs,Goals,Assists
Kike Pérez,9,0,1
Javi Sánchez,8,0,0
Roque Mesa,9,0,1
Joaquín Fernández,9,0,0
Sergio Escudero,7,0,0
Álvaro Aguado,8,0,0
Óscar Plano,9,1,0
Monchu,8,1,0
Sergio Asenjo,5,0,0
Iván Sánchez,8,0,0
Luis Pérez,5,0,0
Jordi Masip,4,0,0
Sergio León,8,2,1
Gonzalo Plata,5,0,0
Sergi Guardiola,7,0,0
Iván Fresneda,4,0,0
Lucas Olaza,5,0,0
Anuar,3,1,0
Jawad ,3,0,0
Shon Weissman,6,1,0
Zouhair Feddal,3,0,0
Toni Villa,2,0,0
Juanjo Narváez,4,0,0
Sékou Gassama,1,0,0
Roberto Arroyo,1,0,0
Kenedy,1,0,0
Mickael Malsa,2,0,0
Álvaro Aceves,0,0,0
Lucas Olivei,0,0,0
David Torres,0,0,0
