Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_11,J_10,J_9,J_8,J_7,Avg_last_5_games,Value,img,squad_img
20,Sevilla FC,Bono,PT,10,91,0,0,37,3.7,"['5', '-', '10', '11', '-1']",5,0,10,11,-1,5.0,4400000,https://www.comuniate.com/caras3/2383.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Dmitrovic,PT,9,9,1,0,12,6,"['-', '5', '-', '-', '-']",0,5,0,0,0,1.0,950000,https://www.comuniate.com/caras3/2416.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,José Ángel Carmona,DF,9,36,3,0,42,4.7,"['6', '2', '2', '1', '2']",6,2,2,1,2,2.6,3370000,https://www.comuniate.com/caras3/3238.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Marcos Acuña,DF,10,55,0,2,31,3.9,"['-', '5', '2', '2', '-']",0,5,2,2,0,1.8,5910000,https://www.comuniate.com/caras3/2997.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Nianzou,DF,10,64,3,0,30,3.3,"['2', '5', '4', '4', '-']",2,5,4,4,0,3.0,4070000,https://www.comuniate.com/caras3/3320.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Álex Telles,DF,9,45,0,0,29,2.9,"['3', '2', '4', '4', '2']",3,2,4,4,2,3.0,2500000,https://www.comuniate.com/caras3/3307.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Jesús Navas,DF,7,45,0,0,24,3,"['5', '-', '2', '6', '5']",5,0,2,6,5,3.6,3740000,https://www.comuniate.com/caras3/16.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Rekik,DF,6,36,0,0,19,3.8,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,1750000,https://www.comuniate.com/caras3/3020.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Gonzalo Montiel,DF,8,55,0,0,16,2.7,"['-', '7', '2', '0', '5']",0,7,2,0,5,2.8,1540000,https://www.comuniate.com/caras3/3141.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Marcão,DF,6,27,0,1,13,4.3,"['-', '3', '7', '-', '3']",0,3,7,0,3,2.6,4080000,https://www.comuniate.com/caras3/3294.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Kike Salas,DF,10,27,0,1,6,1.5,"['2', '-', '-', '0', '-']",2,0,0,0,0,0.4,900000,https://www.comuniate.com/caras3/3349.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Óliver Torres,MD,10,82,0,1,48,5.3,"['0', '11', '5', '4', '2']",0,11,5,4,2,4.4,4650000,https://www.comuniate.com/caras3/1575.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Gudelj,MD,8,82,0,0,44,4.9,"['2', '6', '13', '7', '1']",2,6,13,7,1,5.8,1830000,https://www.comuniate.com/caras3/2838.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Isco,MD,6,73,1,0,37,3.7,"['4', '3', '6', '4', '4']",4,3,6,4,4,4.2,6340000,https://www.comuniate.com/caras3/1249.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Papu Gómez,MD,9,45,2,1,36,3.6,"['2', '3', '2', '3', '2']",2,3,2,3,2,2.4,6300000,https://www.comuniate.com/caras3/3063.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Fernando Reges,MD,5,55,1,0,27,4.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,5200000,https://www.comuniate.com/caras3/2831.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Rakitic,MD,8,27,0,0,25,3.1,"['8', '-', '1', '3', '2']",8,0,1,3,2,2.8,3900000,https://www.comuniate.com/caras3/1317.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Joan Jordan,MD,3,64,0,0,19,2.7,"['-', '2', '-', '-', '2']",0,2,0,0,2,0.8,3490000,https://www.comuniate.com/caras3/1971.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Delaney,MD,4,18,0,1,18,2.6,"['2', '2', '-', '2', '2']",2,2,0,2,2,1.6,1300000,https://www.comuniate.com/caras3/3158.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Pedro Ortiz,MD,8,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,230000,https://www.comuniate.com/caras3/3147.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Erik Lamela,DL,7,64,0,0,40,4,"['1', '2', '2', '8', '7']",1,2,2,8,7,4.0,6490000,https://www.comuniate.com/caras3/3133.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Rafa Mir,DL,3,45,0,1,21,3.5,"['-', '-', '-', '6', '2']",0,0,0,6,2,1.6,4480000,https://www.comuniate.com/caras3/2947.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,En-Nesyri,DL,2,18,0,0,17,2.1,"['4', '2', '2', '-', '-']",4,2,2,0,0,1.6,5120000,https://www.comuniate.com/caras3/2314.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Dolberg,DL,3,18,0,0,11,3.7,"['4', '5', '-', '-', '-']",4,5,0,0,0,1.8,3140000,https://www.comuniate.com/caras3/3337.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Suso,DL,1,0,0,0,7,2.3,"['-', '-', '1', '-', '-']",0,0,1,0,0,0.2,1830000,https://www.comuniate.com/caras3/1740.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Jesús Corona,DL,3,9,0,0,2,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,2350000,https://www.comuniate.com/caras3/3217.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
20,Sevilla FC,Januzaj,DL,1,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,2670000,https://www.comuniate.com/caras3/2436.png,https://www.comuniate.com/intranet/equipos/fotos/15.jpg
