Player,Matchs,Goals,Assists
Yassine Bounou,6,0,0
Fernando,6,0,0
Marcos Acuña,5,0,0
Joan Jordán,5,0,0
Érik Lamela,5,1,0
Nemanja Gudelj,4,0,0
Rafa Mir,4,1,0
Óliver Torres,4,2,0
Tanguy Nianzou,5,0,0
Isco,5,0,1
Papu Gómez,5,0,1
Jesús Navas,4,0,0
Karim Rekik,4,1,0
Youssef En-Nesyri,5,0,0
Carmona,4,2,1
Enrique Valiente,2,0,0
Gonzalo Montiel,2,0,0
Alex Telles,5,0,1
Thomas Delaney,3,0,0
Lucas Ocampos,3,0,0
Ivan Rakitić,4,0,0
Jesús Corona,1,0,0
Suso,2,0,0
Marko Dmitrović,1,0,0
Kasper Dolberg,1,0,0
Iván Romero,1,0,0
Munir ,0,0,0
Adnan Januzaj,0,0,0
Alberto López,0,0,0
Marcão,0,0,0
