Player,Matchs,Goals,Assists
Sergio Akieme,7,0,0
Srđan Babić,7,0,0
Rodrigo Ely,7,0,0
Fernando,7,0,0
Samu Costa,7,0,0
Largie Ramazani,7,2,0
Lucas Robertone,7,0,1
Kaiky,5,0,0
Alejandro Po,4,0,1
Íñigo Eguaras,5,0,1
Umar Sadiq,3,2,0
Dyego Sousa,6,0,0
Juan Brandáriz,4,0,0
Lázaro,3,0,0
Arnau Puigmal,5,0,0
Francisco Portillo,6,0,0
Léo Baptistão,4,0,0
César ,2,0,0
Adri Embarba,4,0,0
Houboulang Mendes,2,0,0
El Bil,2,0,0
Curro,2,0,0
Gonzalo Melero,1,0,0
José Carl,1,0,0
Marko Milovanović,2,0,0
Álex Centelles,0,0,0
Arvin Appiahe,0,0,0
Diego Fuoli,0,0,0
Gui Guedes,0,0,0
Carlos Humber,0,0,0
Fernando Pacheco,0,0,0
Martin Šviderský,0,0,0
