Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_4,J_3,J_2,J_1,J_0,Avg_last_5_games,Value,img,squad_img
13,Valencia CF,Mamardashvili,PT,4,100,0,0,20,5,"['6', '2', '8', '4', 0]",6,2,8,4,0,4.0,3400000,https://www.comuniate.com/caras3/3102.png,https://www.comuniate.com/intranet/equipos/fotos/18.jpg
13,Valencia CF,Jaume Doménech,PT,4,0,0,0,0,0,"['-', '-', '-', '-', 0]",0,0,0,0,0,0.0,430000,https://www.comuniate.com/caras3/2149.png,https://www.comuniate.com/intranet/equipos/fotos/18.jpg
13,Valencia CF,Lato,DF,4,50,1,0,24,6,"['2', '2', '5', '15', 0]",2,2,5,15,0,4.8,790000,https://www.comuniate.com/caras3/2345.png,https://www.comuniate.com/intranet/equipos/fotos/18.jpg
13,Valencia CF,Thierry Correia,DF,4,100,0,2,18,4.5,"['2', '7', '3', '6', 0]",2,7,3,6,0,3.6,3420000,https://www.comuniate.com/caras3/2863.png,https://www.comuniate.com/intranet/equipos/fotos/18.jpg
13,Valencia CF,Diakhaby,DF,4,100,0,0,14,3.5,"['3', '2', '3', '6', 0]",3,2,3,6,0,2.8,1840000,https://www.comuniate.com/caras3/2614.png,https://www.comuniate.com/intranet/equipos/fotos/18.jpg
13,Valencia CF,Foulquier,DF,4,0,0,2,10,2.5,"['2', '4', '2', '2', 0]",2,4,2,2,0,2.0,1360000,https://www.comuniate.com/caras3/1780.png,https://www.comuniate.com/intranet/equipos/fotos/18.jpg
13,Valencia CF,Cömert,DF,4,75,1,0,7,2.3,"['-3', '-', '4', '6', 0]",-3,0,4,6,0,1.4,670000,https://www.comuniate.com/caras3/3226.png,https://www.comuniate.com/intranet/equipos/fotos/18.jpg
13,Valencia CF,Cristhian Mosquera,DF,3,0,1,0,5,2.5,"['-', '5', '-', '-', 0]",0,5,0,0,0,1.0,620000,https://www.comuniate.com/caras3/3220.png,https://www.comuniate.com/intranet/equipos/fotos/18.jpg
13,Valencia CF,Gabriel Paulista,DF,3,25,0,0,5,5,"['4', '-', '-', '1', 0]",4,0,0,1,0,1.0,4290000,https://www.comuniate.com/caras3/1768.png,https://www.comuniate.com/intranet/equipos/fotos/18.jpg
13,Valencia CF,Jesús Vázquez,DF,4,50,1,0,3,1.5,"['3', '0', '-', '-', 0]",3,0,0,0,0,0.6,1450000,https://www.comuniate.com/caras3/3173.png,https://www.comuniate.com/intranet/equipos/fotos/18.jpg
