Player,Matchs,Goals,Assists
Giorgi Mamardashvili,7,0,0
Mouctar Diakhaby,7,1,0
Samuel,7,1,0
Thierry Correia,7,0,0
Hugo Guillamón,7,0,3
Samu Castillejo,7,2,0
Yunus Musah,5,0,2
Eray Cömert,5,1,0
Gabriel Paulista,4,1,0
Carlos Soler,3,1,0
José Lu,3,0,1
Hugo Duro,5,1,0
Nicolás González,7,1,0
Toni Lato,6,1,0
Domingos And,4,1,1
Maranhão,6,1,0
Ilaix Moriba,3,0,0
Edinson Cavani,2,0,0
Jesus Vazquez,2,0,0
Maxi Gómez,3,0,0
Justin Kluivert,3,0,0
Dimitri Foulquier,4,0,0
Cristhian Mosquera,2,0,0
Francisco Perez,1,0,0
Diego Noguerol,1,0,0
Emilio Bernard,0,0,0
Cristian,0,0,0
Jaume Doménech,0,0,0
Iago Herrerín,0,0,0
Koba Koindredi,0,0,0
Cenk Özkacar,0,0,0
Charlie Perez,0,0,0
Uroš Račić,0,0,0
Manu Vallejo,0,0,0
