Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_9,J_8,J_7,J_6,J_5,Avg_last_5_games,Value,img,squad_img
12,Villarreal CF,Rulli,PT,9,100,0,0,66,7.3,"['6', '2', '7', '5', '10']",6,2,7,5,10,6.0,6360000,https://www.comuniate.com/caras3/1915.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Pepe Reina,PT,9,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,510000,https://www.comuniate.com/caras3/2877.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Pau Torres,DF,9,100,0,0,49,5.4,"['4', '4', '9', '3', '5']",4,4,9,3,5,5.0,8710000,https://www.comuniate.com/caras3/2554.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Albiol,DF,9,100,0,0,48,5.3,"['5', '5', '6', '2', '7']",5,5,6,2,7,5.0,6070000,https://www.comuniate.com/caras3/106.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Alfonso Pedraza,DF,9,100,0,1,46,5.1,"['2', '4', '7', '1', '7']",2,4,7,1,7,4.2,5190000,https://www.comuniate.com/caras3/2031.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Kiko Femenía,DF,8,56,0,0,25,4.2,"['5', '4', '6', '2', '-']",5,4,6,2,0,3.4,2880000,https://www.comuniate.com/caras3/1168.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Johan Mojica,DF,9,33,1,2,15,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,2950000,https://www.comuniate.com/caras3/1732.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Juan Foyth,DF,7,33,1,0,15,5,"['3', '2', '-', '-', '-']",3,2,0,0,0,1.0,3960000,https://www.comuniate.com/caras3/3017.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Aïssa Mandi,DF,8,11,1,1,14,3.5,"['-', '-', '-', '4', '6']",0,0,0,4,6,2.0,1050000,https://www.comuniate.com/caras3/2251.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Jorge Cuenca,DF,6,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,640000,https://www.comuniate.com/caras3/3093.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Álex Baena,MD,5,22,2,0,56,6.2,"['1', '10', '5', '2', '10']",1,10,5,2,10,5.6,6270000,https://www.comuniate.com/caras3/2943.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Parejo,MD,8,100,1,0,55,6.1,"['4', '10', '7', '2', '6']",4,10,7,2,6,5.8,14980000,https://www.comuniate.com/caras3/951.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Capoue,MD,3,89,0,0,37,4.6,"['7', '2', '5', '6', '-']",7,2,5,6,0,4.0,5040000,https://www.comuniate.com/caras3/3051.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Lo Celso,MD,9,78,3,0,36,5.1,"['4', '5', '4', '4', '-']",4,5,4,4,0,3.4,11130000,https://www.comuniate.com/caras3/2684.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Yéremi Pino,MD,4,78,2,0,34,4.3,"['5', '4', '-', '3', '4']",5,4,0,3,4,3.2,9950000,https://www.comuniate.com/caras3/3031.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Samu Chukwueze,MD,9,11,0,1,31,3.4,"['3', '6', '0', '1', '-']",3,6,0,1,0,2.0,3960000,https://www.comuniate.com/caras3/2687.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Coquelin,MD,9,44,1,0,31,3.9,"['3', '8', '2', '2', '1']",3,8,2,2,1,3.2,4340000,https://www.comuniate.com/caras3/2522.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Morlanes,MD,4,11,0,0,3,3,"['-', '-', '-', '-', '3']",0,0,0,0,3,0.6,550000,https://www.comuniate.com/caras3/2671.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Alberto Moreno,MD,1,0,0,0,3,3,"['-', '-', '-', '-', '3']",0,0,0,0,3,0.6,1030000,https://www.comuniate.com/caras3/1659.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Trigueros,MD,2,0,0,0,2,2,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,1900000,https://www.comuniate.com/caras3/1699.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Carlo Adriano,MD,1,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,260000,https://www.comuniate.com/caras3/3211.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Nicolas Jackson,DL,1,78,0,0,36,4,"['0', '2', '5', '2', '7']",0,2,5,2,7,3.2,6530000,https://www.comuniate.com/caras3/3210.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Morales,DL,0,11,0,0,29,3.2,"['2', '2', '2', '4', '3']",2,2,2,4,3,2.6,6140000,https://www.comuniate.com/caras3/1868.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Gerard Moreno,DL,0,56,0,0,22,4.4,"['0', '-', '-', '-', '-']",0,0,0,0,0,0.0,13310000,https://www.comuniate.com/caras3/1927.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Danjuma,DL,0,22,0,0,20,5,"['-', '2', '2', '1', '15']",0,2,2,1,15,4.0,9670000,https://www.comuniate.com/caras3/3150.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
12,Villarreal CF,Fernando Niño,DL,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,650000,https://www.comuniate.com/caras3/2895.png,https://www.comuniate.com/intranet/equipos/fotos/19.jpg
