Player,Matchs,Goals,Assists
Raúl Albiol,4,0,0
Alfonso Pedraza,4,0,1
Gerónimo Rulli,4,0,0
Pau Torres,4,0,0
Étienne Capoue,4,0,0
Daniel Parejo,4,0,0
Gerard Moreno,4,2,0
Yeremi Pino,4,1,1
Nicolas Jackson,4,1,1
Juan Foyth,3,0,0
Giovani ,3,1,0
José Lu,4,1,0
Francis Coquelin,4,1,0
Kiko Femenía,2,0,0
Samuel Chukwueze,4,0,1
Alex Baena,4,2,0
Aïssa Mandi,2,0,0
Iker Álvarez,0,0,0
Jorge Cuenca,0,0,0
Pervis Estupiñán,0,0,0
Filip Jörgensen,0,0,0
Johan Mojica,0,0,0
Manu Morlanes,0,0,0
Pepe Reina,0,0,0
Manu Trigueros,0,0,0
