Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games,Value
1,Athletic Club,Unai Simón,PT,3,100,0,0,21,7,"['8', '5', '6', 0, 0]",8,5,6,0,0,3.8,4460000
1,Athletic Club,Agirrezabala,PT,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,390000
1,Athletic Club,Ander Iru,PT,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,370000
1,Athletic Club,De Marcos,DF,3,100,0,1,23,7.7,"['6', '8', '8', 0, 0]",6,8,8,0,0,4.4,3210000
1,Athletic Club,Yeray Álvarez,DF,3,100,0,0,22,7.3,"['7', '7', '8', 0, 0]",7,7,8,0,0,4.4,4590000
1,Athletic Club,Daniel Vivian,DF,3,100,0,0,18,6,"['5', '4', '8', 0, 0]",5,4,8,0,0,3.4,3280000
1,Athletic Club,Yuri Berchiche,DF,3,67,1,0,14,7,"['8', '6', '-', 0, 0]",8,6,0,0,0,2.8,5920000
1,Athletic Club,Lekue,DF,3,33,2,0,8,8,"['-', '-', '8', 0, 0]",0,0,8,0,0,1.6,660000
1,Athletic Club,Capa,DF,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,710000
1,Athletic Club,Iñigo Martínez,DF,3,0,0,1,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,5610000
1,Athletic Club,Balenziaga,DF,2,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,360000
1,Athletic Club,Álex Berenguer,MD,1,100,0,1,26,8.7,"['4', '11', '11', 0, 0]",4,11,11,0,0,5.2,4620000
1,Athletic Club,Muniain,MD,1,100,0,0,18,6,"['3', '8', '7', 0, 0]",3,8,7,0,0,3.6,12040000
1,Athletic Club,Mikel Vesga,MD,3,100,0,0,17,5.7,"['7', '5', '5', 0, 0]",7,5,5,0,0,3.4,2010000
1,Athletic Club,Nico Williams,MD,2,67,0,0,17,5.7,"['6', '2', '7', 0, 0]",6,2,7,0,0,3.0,5770000
1,Athletic Club,Zarraga,MD,2,0,2,0,4,2,"['2', '2', '-', 0, 0]",2,2,0,0,0,0.8,900000
1,Athletic Club,Unai Vencedor,MD,1,0,0,0,2,2,"['-', '2', '-', 0, 0]",0,2,0,0,0,0.4,2010000
1,Athletic Club,Malcom Adu,MD,1,0,0,0,0,0,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4,380000
1,Athletic Club,Jon Morcillo,MD,2,0,0,1,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,320000
1,Athletic Club,Dani García,MD,1,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,1000000
1,Athletic Club,Ander Herrera,MD,1,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,2010000
1,Athletic Club,Guruzeta,DL,1,0,0,0,17,8.5,"['1', '-', '16', 0, 0]",1,0,16,0,0,3.4,670000
1,Athletic Club,Williams,DL,0,100,0,0,12,4,"['5', '3', '4', 0, 0]",5,3,4,0,0,2.4,9360000
1,Athletic Club,Sancet,DL,0,100,0,0,11,3.7,"['2', '3', '6', 0, 0]",2,3,6,0,0,2.2,4210000
2,Club Atlético de Madrid,Oblak,PT,3,100,0,0,16,5.3,"['6', '3', '7', 0, 0]",6,3,7,0,0,3.2,6090000
2,Club Atlético de Madrid,Ivo Grbic,PT,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,330000
2,Club Atlético de Madrid,Reinildo Mandava,DF,3,100,0,0,15,5,"['5', '4', '6', 0, 0]",5,4,6,0,0,3.0,4700000
2,Club Atlético de Madrid,Savic,DF,3,67,0,0,10,5,"['8', '2', '-', 0, 0]",8,2,0,0,0,2.0,4680000
2,Club Atlético de Madrid,José Giménez,DF,3,33,0,3,9,4.5,"['-', '2', '7', 0, 0]",0,2,7,0,0,1.8,4110000
2,Club Atlético de Madrid,Nahuel Molina,DF,3,67,2,0,1,0.5,"['5', '-4', '-', 0, 0]",5,-4,0,0,0,0.2,7170000
2,Club Atlético de Madrid,Mario Hermoso,DF,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,1090000
2,Club Atlético de Madrid,Felipe,DF,2,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,890000
2,Club Atlético de Madrid,Lemar,MD,2,67,0,0,17,5.7,"['4', '4', '8', 0, 0]",4,4,8,0,0,3.2,4500000
2,Club Atlético de Madrid,Witsel,MD,3,100,0,1,14,4.7,"['4', '4', '6', 0, 0]",4,4,6,0,0,2.8,5690000
2,Club Atlético de Madrid,Rodrigo de Paul,MD,2,33,0,0,13,4.3,"['4', '3', '6', 0, 0]",4,3,6,0,0,2.6,4900000
2,Club Atlético de Madrid,Koke,MD,3,100,0,0,13,4.3,"['4', '6', '3', 0, 0]",4,6,3,0,0,2.6,6660000
2,Club Atlético de Madrid,Marcos Llorente,MD,3,100,0,0,13,4.3,"['4', '4', '5', 0, 0]",4,4,5,0,0,2.6,8020000
2,Club Atlético de Madrid,Ferreira Carrasco,MD,2,33,0,0,10,3.3,"['5', '3', '2', 0, 0]",5,3,2,0,0,2.0,8360000
2,Club Atlético de Madrid,Saúl Ñíguez,MD,1,67,0,0,9,4.5,"['5', '-', '4', 0, 0]",5,0,4,0,0,1.8,3750000
2,Club Atlético de Madrid,Kondogbia,MD,3,33,2,0,5,5,"['-', '-', '5', 0, 0]",0,0,5,0,0,1.0,3000000
2,Club Atlético de Madrid,Carlos Martín,MD,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,180000
2,Club Atlético de Madrid,Morata,DL,3,100,0,0,26,8.7,"['16', '7', '3', 0, 0]",16,7,3,0,0,5.2,16670000
2,Club Atlético de Madrid,Griezmann,DL,0,0,0,0,24,8,"['12', '4', '8', 0, 0]",12,4,8,0,0,4.8,12880000
2,Club Atlético de Madrid,João Félix,DL,0,100,0,0,23,7.7,"['13', '5', '4', 0, 0]",13,5,4,0,0,4.4,18290000
2,Club Atlético de Madrid,Correa,DL,0,0,0,0,7,2.3,"['2', '4', '1', 0, 0]",2,4,1,0,0,1.4,6500000
2,Club Atlético de Madrid,Matheus Cunha,DL,0,0,0,0,5,1.7,"['4', '-1', '2', 0, 0]",4,-1,2,0,0,1.0,5120000
3,CA Osasuna,Sergio Herrera,PT,3,100,0,0,12,4,"['4', '6', '2', 0, 0]",4,6,2,0,0,2.4,4080000
3,CA Osasuna,Juan Pérez,PT,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,180000
3,CA Osasuna,Aitor Fernández,PT,3,0,0,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,1040000
3,CA Osasuna,David García Zub.,DF,3,100,0,0,15,5,"['3', '7', '5', 0, 0]",3,7,5,0,0,3.0,4990000
3,CA Osasuna,Rubén Peña,DF,3,100,0,0,14,4.7,"['5', '7', '2', 0, 0]",5,7,2,0,0,2.8,2290000
3,CA Osasuna,Unai García,DF,3,100,0,0,13,4.3,"['3', '8', '2', 0, 0]",3,8,2,0,0,2.6,990000
3,CA Osasuna,Juan Cruz,DF,3,100,0,0,10,3.3,"['4', '5', '1', 0, 0]",4,5,1,0,0,2.0,1390000
3,CA Osasuna,Nacho Vidal,DF,3,33,1,0,9,3,"['2', '2', '5', 0, 0]",2,2,5,0,0,1.8,2530000
3,CA Osasuna,Manu Sánchez,DF,3,0,0,1,7,3.5,"['3', '-', '4', 0, 0]",3,0,4,0,0,1.4,1620000
3,CA Osasuna,Unai Dufur,DF,3,0,2,0,0,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0,220000
