Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games
1,Athletic Club,Unai Simón,PT,21,7,4460000,100,"['8', '5', '6', 0, 0]",8,5,6,0,0,3.8
1,Athletic Club,Agirrezabala,PT,0,0,390000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
1,Athletic Club,Ander Iru,PT,0,0,370000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
1,Athletic Club,De Marcos,DF,23,7.7,3210000,100,"['6', '8', '8', 0, 0]",6,8,8,0,0,4.4
1,Athletic Club,Yeray Álvarez,DF,22,7.3,4590000,100,"['7', '7', '8', 0, 0]",7,7,8,0,0,4.4
1,Athletic Club,Daniel Vivian,DF,18,6,3280000,100,"['5', '4', '8', 0, 0]",5,4,8,0,0,3.4
1,Athletic Club,Yuri Berchiche,DF,14,7,5920000,67,"['8', '6', '-', 0, 0]",8,6,0,0,0,2.8
1,Athletic Club,Lekue,DF,8,8,660000,33,"['-', '-', '8', 0, 0]",0,0,8,0,0,1.6
1,Athletic Club,Capa,DF,0,0,710000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
1,Athletic Club,Iñigo Martínez,DF,0,0,5610000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
1,Athletic Club,Balenziaga,DF,0,0,360000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
1,Athletic Club,Álex Berenguer,MD,26,8.7,4620000,100,"['4', '11', '11', 0, 0]",4,11,11,0,0,5.2
1,Athletic Club,Muniain,MD,18,6,12040000,100,"['3', '8', '7', 0, 0]",3,8,7,0,0,3.6
1,Athletic Club,Mikel Vesga,MD,17,5.7,2010000,100,"['7', '5', '5', 0, 0]",7,5,5,0,0,3.4
1,Athletic Club,Nico Williams,MD,17,5.7,5770000,67,"['6', '2', '7', 0, 0]",6,2,7,0,0,3.0
1,Athletic Club,Zarraga,MD,4,2,900000,0,"['2', '2', '-', 0, 0]",2,2,0,0,0,0.8
1,Athletic Club,Unai Vencedor,MD,2,2,2010000,0,"['-', '2', '-', 0, 0]",0,2,0,0,0,0.4
1,Athletic Club,Malcom Adu,MD,0,0,380000,0,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4
1,Athletic Club,Jon Morcillo,MD,0,0,320000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
1,Athletic Club,Dani García,MD,0,0,1000000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
1,Athletic Club,Ander Herrera,MD,0,0,2010000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
1,Athletic Club,Guruzeta,DL,17,8.5,670000,0,"['1', '-', '16', 0, 0]",1,0,16,0,0,3.4
1,Athletic Club,Williams,DL,12,4,9360000,100,"['5', '3', '4', 0, 0]",5,3,4,0,0,2.4
1,Athletic Club,Sancet,DL,11,3.7,4210000,100,"['2', '3', '6', 0, 0]",2,3,6,0,0,2.2
1,Athletic Club,Raúl García,DL,11,3.7,3080000,0,"['4', '3', '3', 0, 0]",4,3,3,0,0,2.0
1,Athletic Club,Villalibre,DL,4,4,2020000,33,"['4', '-', '-', 0, 0]",4,0,0,0,0,0.8
2,Club Atlético de Madrid,Oblak,PT,16,5.3,6090000,100,"['6', '3', '7', 0, 0]",6,3,7,0,0,3.2
2,Club Atlético de Madrid,Ivo Grbic,PT,0,0,330000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
2,Club Atlético de Madrid,Reinildo Mandava,DF,15,5,4700000,100,"['5', '4', '6', 0, 0]",5,4,6,0,0,3.0
2,Club Atlético de Madrid,Savic,DF,10,5,4680000,67,"['8', '2', '-', 0, 0]",8,2,0,0,0,2.0
2,Club Atlético de Madrid,José Giménez,DF,9,4.5,4110000,33,"['-', '2', '7', 0, 0]",0,2,7,0,0,1.8
2,Club Atlético de Madrid,Nahuel Molina,DF,1,0.5,7170000,67,"['5', '-4', '-', 0, 0]",5,-4,0,0,0,0.2
2,Club Atlético de Madrid,Mario Hermoso,DF,0,0,1090000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
2,Club Atlético de Madrid,Felipe,DF,0,0,890000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
2,Club Atlético de Madrid,Lemar,MD,17,5.7,4500000,67,"['4', '4', '8', 0, 0]",4,4,8,0,0,3.2
2,Club Atlético de Madrid,Witsel,MD,14,4.7,5690000,100,"['4', '4', '6', 0, 0]",4,4,6,0,0,2.8
2,Club Atlético de Madrid,Rodrigo de Paul,MD,13,4.3,4900000,33,"['4', '3', '6', 0, 0]",4,3,6,0,0,2.6
2,Club Atlético de Madrid,Koke,MD,13,4.3,6660000,100,"['4', '6', '3', 0, 0]",4,6,3,0,0,2.6
2,Club Atlético de Madrid,Marcos Llorente,MD,13,4.3,8020000,100,"['4', '4', '5', 0, 0]",4,4,5,0,0,2.6
2,Club Atlético de Madrid,Ferreira Carrasco,MD,10,3.3,8360000,33,"['5', '3', '2', 0, 0]",5,3,2,0,0,2.0
2,Club Atlético de Madrid,Saúl Ñíguez,MD,9,4.5,3750000,67,"['5', '-', '4', 0, 0]",5,0,4,0,0,1.8
2,Club Atlético de Madrid,Kondogbia,MD,5,5,3000000,33,"['-', '-', '5', 0, 0]",0,0,5,0,0,1.0
2,Club Atlético de Madrid,Carlos Martín,MD,0,0,180000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
2,Club Atlético de Madrid,Morata,DL,26,8.7,16670000,100,"['16', '7', '3', 0, 0]",16,7,3,0,0,5.2
2,Club Atlético de Madrid,Griezmann,DL,24,8,12880000,0,"['12', '4', '8', 0, 0]",12,4,8,0,0,4.8
2,Club Atlético de Madrid,João Félix,DL,23,7.7,18290000,100,"['13', '5', '4', 0, 0]",13,5,4,0,0,4.4
2,Club Atlético de Madrid,Correa,DL,7,2.3,6500000,0,"['2', '4', '1', 0, 0]",2,4,1,0,0,1.4
2,Club Atlético de Madrid,Matheus Cunha,DL,5,1.7,5120000,0,"['4', '-1', '2', 0, 0]",4,-1,2,0,0,1.0
3,CA Osasuna,Sergio Herrera,PT,12,4,4080000,100,"['4', '6', '2', 0, 0]",4,6,2,0,0,2.4
3,CA Osasuna,Juan Pérez,PT,0,0,180000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
3,CA Osasuna,Aitor Fernández,PT,0,0,1040000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
3,CA Osasuna,David García Zub.,DF,15,5,4990000,100,"['3', '7', '5', 0, 0]",3,7,5,0,0,3.0
3,CA Osasuna,Rubén Peña,DF,14,4.7,2290000,100,"['5', '7', '2', 0, 0]",5,7,2,0,0,2.8
3,CA Osasuna,Unai García,DF,13,4.3,990000,100,"['3', '8', '2', 0, 0]",3,8,2,0,0,2.6
3,CA Osasuna,Juan Cruz,DF,10,3.3,1390000,100,"['4', '5', '1', 0, 0]",4,5,1,0,0,2.0
3,CA Osasuna,Nacho Vidal,DF,9,3,2530000,33,"['2', '2', '5', 0, 0]",2,2,5,0,0,1.8
3,CA Osasuna,Manu Sánchez,DF,7,3.5,1620000,0,"['3', '-', '4', 0, 0]",3,0,4,0,0,1.4
3,CA Osasuna,Unai Dufur,DF,0,0,220000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
3,CA Osasuna,Aridane Hernández,DF,0,0,1860000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
3,CA Osasuna,Moi Gómez,MD,19,6.3,4380000,100,"['6', '6', '7', 0, 0]",6,6,7,0,0,3.8
3,CA Osasuna,Aimar Oroz,MD,14,4.7,2620000,100,"['8', '4', '2', 0, 0]",8,4,2,0,0,2.8
3,CA Osasuna,Jon Moncayola,MD,12,4,5200000,100,"['5', '2', '5', 0, 0]",5,2,5,0,0,2.4
3,CA Osasuna,Lucas Torró,MD,10,3.3,3920000,100,"['4', '4', '2', 0, 0]",4,4,2,0,0,2.0
3,CA Osasuna,Brasanac,MD,8,4,1640000,0,"['2', '6', '-', 0, 0]",2,6,0,0,0,1.6
3,CA Osasuna,Rubén García,MD,7,3.5,4070000,0,"['-', '2', '5', 0, 0]",0,2,5,0,0,1.4
3,CA Osasuna,Kike Barja,MD,3,1.5,600000,33,"['-1', '-', '4', 0, 0]",-1,0,4,0,0,0.6
3,CA Osasuna,Roberto Torres,MD,2,2,1010000,0,"['-', '2', '-', 0, 0]",0,2,0,0,0,0.4
3,CA Osasuna,Pablo Ibáñez,MD,2,2,200000,0,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4
3,CA Osasuna,Javi Martínez Calvo,MD,0,0,450000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
3,CA Osasuna,Iker Benito,MD,0,0,230000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
3,CA Osasuna,Ezequiel Ávila,DL,20,6.7,11080000,100,"['9', '9', '2', 0, 0]",9,9,2,0,0,4.0
3,CA Osasuna,Kike García,DL,17,5.7,3620000,0,"['4', '11', '2', 0, 0]",4,11,2,0,0,3.4
3,CA Osasuna,Budimir,DL,8,4,6330000,33,"['-', '5', '3', 0, 0]",0,5,3,0,0,1.6
3,CA Osasuna,Barbero,DL,0,0,210000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
4,RCD Espanyol de Barcelona,Joan García,PT,0,0,200000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
4,RCD Espanyol de Barcelona,Lecomte,PT,-2,-0.7,2750000,100,"['1', '0', '-3', 0, 0]",1,0,-3,0,0,-0.4
4,RCD Espanyol de Barcelona,Rubén Sánchez Sáez,DF,15,5,2030000,100,"['5', '6', '4', 0, 0]",5,6,4,0,0,3.0
4,RCD Espanyol de Barcelona,Leandro Cabrera,DF,14,4.7,4090000,100,"['5', '5', '4', 0, 0]",5,5,4,0,0,2.8
4,RCD Espanyol de Barcelona,Calero,DF,11,3.7,1270000,67,"['4', '2', '5', 0, 0]",4,2,5,0,0,2.2
4,RCD Espanyol de Barcelona,Brian Oliván,DF,9,3,1940000,100,"['6', '2', '1', 0, 0]",6,2,1,0,0,1.8
4,RCD Espanyol de Barcelona,Óscar Gil,DF,3,1,2260000,100,"['1', '0', '2', 0, 0]",1,0,2,0,0,0.6
4,RCD Espanyol de Barcelona,Adrià Pedrosa,DF,0,0,1340000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
4,RCD Espanyol de Barcelona,Lluís Recasens,DF,0,0,220000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
4,RCD Espanyol de Barcelona,Aleix Vidal,DF,0,0,690000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
4,RCD Espanyol de Barcelona,Sergi Gómez,DF,-6,-3,1570000,67,"['2', '-8', '-', 0, 0]",2,-8,0,0,0,-1.2
4,RCD Espanyol de Barcelona,Edu Expósito,MD,22,7.3,4610000,67,"['11', '6', '5', 0, 0]",11,6,5,0,0,4.4
4,RCD Espanyol de Barcelona,Sergi Darder,MD,16,5.3,6520000,100,"['2', '8', '6', 0, 0]",2,8,6,0,0,3.2
4,RCD Espanyol de Barcelona,Vinicius Souza,MD,13,4.3,3050000,100,"['2', '7', '4', 0, 0]",2,7,4,0,0,2.6
4,RCD Espanyol de Barcelona,Nico Melamed,MD,7,2.3,1540000,67,"['3', '2', '2', 0, 0]",3,2,2,0,0,1.4
4,RCD Espanyol de Barcelona,Keidi Bare,MD,6,3,830000,0,"['-', '4', '2', 0, 0]",0,4,2,0,0,1.2
4,RCD Espanyol de Barcelona,Javi Puado,MD,4,2,1910000,33,"['-', '2', '2', 0, 0]",0,2,2,0,0,0.8
4,RCD Espanyol de Barcelona,Luca Koleosho,MD,3,1.5,260000,0,"['1', '2', '-', 0, 0]",1,2,0,0,0,0.6
4,RCD Espanyol de Barcelona,Lazo,MD,2,2,750000,0,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4
4,RCD Espanyol de Barcelona,Gori,MD,0,0,220000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
4,RCD Espanyol de Barcelona,Villahermosa,MD,0,0,220000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
4,RCD Espanyol de Barcelona,Pol Lozano,MD,0,0,270000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
4,RCD Espanyol de Barcelona,Joselu,DL,26,8.7,15070000,100,"['10', '5', '11', 0, 0]",10,5,11,0,0,5.2
4,RCD Espanyol de Barcelona,Dani Gómez,DL,2,2,1000000,0,"['-', '-', '2', 0, 0]",0,0,2,0,0,0.4
4,RCD Espanyol de Barcelona,Nabil Touaizi,DL,2,2,270000,0,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4
4,RCD Espanyol de Barcelona,Dimata,DL,0,0,220000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
4,RCD Espanyol de Barcelona,Raúl de Tomás,DL,0,0,11110000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Ter Stegen,PT,22,7.3,5800000,100,"['8', '7', '7', 0, 0]",8,7,7,0,0,4.4
5,FC Barcelona,Iñaki Peña,PT,0,0,620000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Eric García,DF,17,5.7,2930000,100,"['5', '5', '7', 0, 0]",5,5,7,0,0,3.4
5,FC Barcelona,Kounde,DF,10,10,10970000,33,"['-', '-', '10', 0, 0]",0,0,10,0,0,2.0
5,FC Barcelona,Ronald Araujo,DF,10,3.3,8070000,100,"['4', '3', '3', 0, 0]",4,3,3,0,0,2.0
5,FC Barcelona,Alejandro Balde,DF,10,5,1470000,67,"['6', '4', '-', 0, 0]",6,4,0,0,0,2.0
5,FC Barcelona,Christensen,DF,10,5,4770000,67,"['-', '5', '5', 0, 0]",0,5,5,0,0,2.0
5,FC Barcelona,Jordi Alba,DF,5,2.5,6870000,33,"['2', '3', '-', 0, 0]",2,3,0,0,0,1.0
5,FC Barcelona,Piqué,DF,0,0,3040000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Sergiño Dest,DF,0,0,1050000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Pedri,MD,26,8.7,19190000,100,"['5', '9', '12', 0, 0]",5,9,12,0,0,5.2
5,FC Barcelona,Sergi Roberto,MD,17,5.7,870000,0,"['2', '4', '11', 0, 0]",2,4,11,0,0,3.4
5,FC Barcelona,De Jong,MD,15,5,7660000,33,"['6', '5', '4', 0, 0]",6,5,4,0,0,3.0
5,FC Barcelona,Gavi,MD,11,3.7,12030000,100,"['2', '4', '5', 0, 0]",2,4,5,0,0,2.2
5,FC Barcelona,Sergio Busquets,MD,8,4,8820000,67,"['3', '-', '5', 0, 0]",3,0,5,0,0,1.6
5,FC Barcelona,Kessié,MD,8,2.7,5190000,0,"['2', '2', '4', 0, 0]",2,2,4,0,0,1.6
5,FC Barcelona,Pjanic,MD,0,0,1160000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Álvaro Sanz,MD,0,0,220000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Lewandowski,DL,39,13,30450000,100,"['6', '17', '16', 0, 0]",6,17,16,0,0,7.8
5,FC Barcelona,Dembélé,DL,28,9.3,21160000,100,"['7', '8', '13', 0, 0]",7,8,13,0,0,5.6
5,FC Barcelona,Ansu Fati,DL,24,8,18480000,0,"['4', '16', '4', 0, 0]",4,16,4,0,0,4.8
5,FC Barcelona,Raphinha,DL,22,7.3,17710000,67,"['6', '4', '12', 0, 0]",6,4,12,0,0,4.4
5,FC Barcelona,Ferrán Torres,DL,4,2,8080000,33,"['-', '2', '2', 0, 0]",0,2,2,0,0,0.8
5,FC Barcelona,Aubameyang,DL,3,3,9720000,0,"['3', '-', '-', 0, 0]",3,0,0,0,0,0.6
5,FC Barcelona,Depay,DL,0,0,4690000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Abde Ezzalzouli,DL,0,0,2090000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Ilias Akhomach,DL,0,0,340000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Estanis,DL,0,0,250000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Braithwaite,DL,0,0,1740000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
6,Getafe CF,David Soria,PT,11,3.7,3570000,100,"['0', '4', '11', 0, 0]",0,4,11,0,0,3.0
6,Getafe CF,Diego Conde,PT,0,0,230000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
6,Getafe CF,Kiko Casilla,PT,0,0,290000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
6,Getafe CF,Juan Iglesias,DF,13,4.3,1120000,100,"['5', '3', '4', 0, 0]",5,3,4,0,0,2.4
6,Getafe CF,Domingos Duarte,DF,11,3.7,2130000,100,"['4', '-1', '7', 0, 0]",4,-1,7,0,0,2.0
6,Getafe CF,Djené,DF,6,2,2200000,100,"['1', '0', '4', 0, 0]",1,0,4,0,0,1.0
6,Getafe CF,Gastón Álvarez,DF,4,4,630000,33,"['-', '-', '4', 0, 0]",0,0,4,0,0,0.8
6,Getafe CF,Kofi,DF,0,0,510000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
6,Getafe CF,Omar Alderete,DF,0,0,2130000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
6,Getafe CF,Damián Suárez,DF,0,0,2450000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
6,Getafe CF,Mitrovic,DF,-1,-0.5,1180000,67,"['-1', '0', '-', 0, 0]",-1,0,0,0,0,-0.2
6,Getafe CF,Angileri,DF,-2,-1,1720000,67,"['1', '-3', '-', 0, 0]",1,-3,0,0,0,-0.4
6,Getafe CF,Mauro Arambarri,MD,15,5,4570000,100,"['6', '4', '5', 0, 0]",6,4,5,0,0,3.0
6,Getafe CF,Maksimovic,MD,6,2,3710000,67,"['2', '2', '2', 0, 0]",2,2,2,0,0,1.2
6,Getafe CF,Jaime Seoane,MD,6,2,1870000,33,"['2', '2', '2', 0, 0]",2,2,2,0,0,1.2
6,Getafe CF,Aleñá,MD,3,1,1550000,100,"['0', '1', '2', 0, 0]",0,1,2,0,0,0.6
6,Getafe CF,Moi Parra,MD,0,0,290000,0,"['3', '-', '-', 0, 0]",3,0,0,0,0,0.6
6,Getafe CF,Luis Milla,MD,0,0,5230000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
6,Getafe CF,Enes Ünal,DL,19,6.3,13000000,100,"['4', '11', '4', 0, 0]",4,11,4,0,0,3.8
6,Getafe CF,Portu,DL,7,2.3,5480000,33,"['3', '2', '4', 0, 0]",3,2,4,0,0,1.8
6,Getafe CF,Jaime Mata,DL,4,2,520000,0,"['-1', '1', '4', 0, 0]",-1,1,4,0,0,0.8
6,Getafe CF,Borja Mayoral,DL,3,1,6850000,100,"['2', '-', '2', 0, 0]",2,0,2,0,0,0.8
