Player,Matchs,Goals,Assists
Unai Simón,11,0,0
Óscar ,11,0,2
Iñaki Williams,11,4,1
Álex Berenguer,11,3,1
Nico Williams,11,3,3
Iker Muniain,10,0,0
Oihan Sancet,11,3,0
Yeray Álvarez,9,0,1
Iñigo Lekue,9,0,1
Mikel Vesga,10,2,1
Iñigo Martínez,7,0,0
Daniel Vivian,7,0,0
Dani García,8,0,1
Yuri Berchiche,4,0,0
Ander Herrera,5,0,1
Oier Zarraga,8,0,0
Asier Villalibre,3,0,0
Raúl García,10,1,0
Gorka Guruzeta,4,2,0
Unai Venced,3,0,0
Jon Morcillo,6,0,1
Aitor Paredes,3,0,0
Malcom Abdul,1,0,0
Ander Capa,1,0,0
Julen Agirrezabala,0,0,0
Mikel Balenziaga,0,0,0
Iru,0,0,0
Peru Nolaskoain,0,0,0
Reinildo Mandava,11,0,0
Axel Witsel,11,0,0
Jan Oblak,9,0,0
Álvaro Morata,11,5,1
Koke,9,0,2
Nahuel Molina,8,0,0
José Mar,8,0,0
Stefan Savić,7,0,0
Geoffrey Kondogbia,9,0,1
Marcos Llorente,6,1,0
Rodrigo ,9,1,1
Antoine Griezmann,11,5,2
Yannick Carrasco,10,1,0
João Félix,10,0,3
Saúl Ñíguez,10,0,0
Thomas Lemar,7,0,1
Ángel Correa,11,3,0
Matheus Cunha,9,0,2
Ivo Grbić,4,0,0
Mario Hermoso,3,1,0
Felipe,1,0,0
Pablo Barrios,0,0,0
Adrián Corral,0,0,0
Sergio Di,0,0,0
Antonio Gomis,0,0,0
Alejandro Iturbe,0,0,0
Renan Lodi,0,0,0
Carlos Martín,0,0,0
Sergio Mestre,0,0,0
Alberto Moreno,0,0,0
Marco Moreno,0,0,0
Lucas Torró,11,0,0
Moi Gómez,11,0,0
Juan Cr,11,0,0
Sergio Herrera,10,0,0
Unai García,10,0,1
Nacho Vidal,11,0,0
David García,9,0,0
Jon Moncayola,11,0,0
Ezequiel Ávila,10,3,1
Aimar Oroz,9,2,0
Ante Budimir,8,1,0
Darko Brašanac,10,1,1
Rubén Peña,7,0,1
Abdessamad Ezzalzouli,8,0,2
Kike,11,2,0
Rubén García,8,1,1
Manuel Sánchez,8,0,0
Aridane Hernández,3,0,0
Kike Barja,4,1,0
Aitor Fernández,1,0,0
Pablo Ibáñez,4,0,0
Roberto Torres,1,0,0
Iker Benito,0,0,0
Jorge Herrando,0,0,0
Javi Martínez,0,0,0
Juan Pérez,0,0,0
Leandro Cabrera,11,0,0
Joselu,11,7,0
Brian Oliván,11,0,2
Sergi Darder,11,1,1
Vinicius Souza,11,0,0
Edu Expósito,11,2,2
Fernando Calero,10,0,0
Sergi Gómez,8,0,0
Benjamin Lecomte,7,0,0
Óscar Gil,8,0,1
Javi Puado,10,1,0
Martin Braithwaite,6,3,1
Álvaro Fernández,4,0,0
Aleix Vidal,6,0,0
Rubén,4,0,0
Nico Ribaudo,8,0,0
Keidi Bare,8,0,0
Omar ,4,0,0
José Carl,5,0,0
Dani Gómez,5,0,0
Adri Embarba,1,0,0
Wassim Boullif,2,0,0
Luca Koleosho,2,0,0
Pol Lozano,3,0,0
Nabil Touaizi,1,0,0
Fortuño,0,0,0
Joan García,0,0,0
Daniel Villahermosa,0,0,0
Marc-André t,11,0,0
Robert Lewandowski,11,12,4
Pedri,11,2,0
Gavi,11,0,1
Alejandro Balde,9,0,3
Sergio Busquets,9,0,0
Ousmane Dembélé,11,3,5
Eric García,8,1,0
Frenkie ,10,1,0
Ronald Araújo,6,0,0
Raphinha,10,1,1
Jules Koundé,6,0,2
Jordi Alba,7,0,1
Ferrán Torres,10,2,0
Sergi Roberto,9,2,0
Gerard Piqué,4,0,0
Andreas Christensen,3,0,0
Ansu Fati,11,3,3
Marcos Alonso,4,0,0
Franck Kessié,7,0,0
Memphis Depay,2,1,0
Héctor Bellerín,3,0,0
Pablo Torre,1,0,0
Pierre-Emerick Aubameyang,1,0,0
Marc Casado,0,0,0
Iñaki Pe,0,0,0
Miralem Pjanić,0,0,0
Chadi Riad,0,0,0
Arnau Tenas,0,0,0
Domingos Duarte,11,0,2
David Soria,11,0,0
Enes Ünal,11,3,2
Borja Mayoral,11,1,0
Carles Aleñá,10,2,1
Djené,9,0,0
Stefan Mitrović,10,0,0
Iglesias,10,1,0
Nemanja Maksimović,9,0,0
Fabrizio Angileri,8,0,0
Damián Suárez,6,1,0
Mauro Arambarri,6,0,1
Gastón Álvarez,5,2,0
Luis Milla,5,0,0
Ángel Algobia,6,0,0
Portu,9,0,0
Jaime Seoane,9,0,0
Munir ,6,1,0
Jordan Amavi,2,0,0
Jaime Mata,6,0,0
Latasa,4,0,0
Moises Par,1,0,0
Alejandro Revuel,1,0,0
Omar Alderete,0,0,0
Vicente Bellmunt,0,0,0
Kiko Casilla,0,0,0
Diego Conde,0,0,0
John Joe,0,0,0
Gorka Rive,0,0,0
Alex Rodríguez,0,0,0
Vinicius Júnior,11,5,3
David Alaba,11,1,3
Federico Valverde,11,6,1
Aurélien Tchouaméni,10,0,2
Éder Militão,9,1,0
Dani Carvajal,10,0,1
Toni Kroos,9,0,1
Luka Modrić,10,2,2
Ferland Mendy,8,0,1
Rodrygo,9,4,4
Thibaut Courtois,7,0,0
Karim Benzema,7,5,1
Antonio Rüdiger,11,1,0
Eduardo Camavinga,11,0,0
Andriy Lunin,4,0,0
Lucas Vázquez,6,2,0
Dani Ceballos,7,0,1
Nacho,5,0,0
Eden Hazard,3,0,0
Marco Asensio,7,1,1
Casemiro,1,0,0
Mariano,2,0,0
Lucas Cañizars,0,0,0
Luis López,0,0,0
Álvaro Muñoz,0,0,0
Álvaro Odriozola,0,0,0
Diego Piñeiro,0,0,0
Jesús Vallejo,0,0,0
Iván Balliu,11,0,0
Catena,11,1,1
Francisco Garcia,11,0,1
Stole Dimitrievski,10,0,0
Álvaro García,10,1,1
Óscar Trejo,10,1,2
Isaac Palaz,10,3,2
Sergio Camello,11,2,2
Florian Lejeune,9,3,0
Óscar Valentín,11,0,0
Pathé Ciss,10,1,0
Santi Comesaña,9,0,0
Unai López,10,1,1
Salvi,7,0,0
Radamel Falcao,10,2,0
Abdul Mumin,2,0,0
Diego López,1,0,0
José Pozo,6,0,0
Randy Ntekja,6,0,0
Bebé,4,0,0
Pep Chavarría,3,0,0
Pablo Muñoz,1,0,0
Mario Suárez,1,0,0
Mario Hernández,0,0,0
Diego Méndez,0,0,0
Morro,0,0,0
Esteban Saveljich,0,0,0
Pablo Maffeo,11,1,0
Antonio Raillo,11,1,0
Predrag Rajković,11,0,0
Martin Valjent,10,0,0
